"Step","prudent_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean","prudent_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean__MIN","prudent_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean__MAX","neutral_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean","neutral_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean__MIN","neutral_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean__MAX","resistant_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean","resistant_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean__MIN","resistant_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean__MAX","receptive_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean","receptive_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean__MIN","receptive_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean__MAX"
"0","-1661292.0442888488","-1661292.0442888488","-1661292.0442888488","-1924754.5645331005","-1924754.5645331005","-1924754.5645331005","-2870649.9918135526","-2870649.9918135526","-2870649.9918135526","-1083421.8741470228","-1083421.8741470228","-1083421.8741470228"
"1","-1495502.8769188724","-1495502.8769188724","-1495502.8769188724","-2014937.7887222858","-2014937.7887222858","-2014937.7887222858","-2915244.026226457","-2915244.026226457","-2915244.026226457","-1078937.6251403717","-1078937.6251403717","-1078937.6251403717"
"2","-1492832.5956486177","-1492832.5956486177","-1492832.5956486177","-2047109.1343790004","-2047109.1343790004","-2047109.1343790004","-2955096.8623293224","-2955096.8623293224","-2955096.8623293224","-1087896.1291534796","-1087896.1291534796","-1087896.1291534796"
"3","-1471212.8671229798","-1471212.8671229798","-1471212.8671229798","-2083208.9880184077","-2083208.9880184077","-2083208.9880184077","-2964798.884962131","-2964798.884962131","-2964798.884962131","-1080336.3531547538","-1080336.3531547538","-1080336.3531547538"
"4","-1450822.0475347564","-1450822.0475347564","-1450822.0475347564","-2099611.286255452","-2099611.286255452","-2099611.286255452","-2958111.9555175607","-2958111.9555175607","-2958111.9555175607","-1084037.8637889477","-1084037.8637889477","-1084037.8637889477"
"5","-1410959.0950945204","-1410959.0950945204","-1410959.0950945204","-2102004.625854884","-2102004.625854884","-2102004.625854884","-2921816.0131953955","-2921816.0131953955","-2921816.0131953955","-1072322.760590854","-1072322.760590854","-1072322.760590854"
"6","-1381995.8961001446","-1381995.8961001446","-1381995.8961001446","-2098147.696425326","-2098147.696425326","-2098147.696425326","-2902118.64748013","-2902118.64748013","-2902118.64748013","-1070384.4774446457","-1070384.4774446457","-1070384.4774446457"
"7","-1355650.356435956","-1355650.356435956","-1355650.356435956","-2096679.8209425402","-2096679.8209425402","-2096679.8209425402","-2890316.053104829","-2890316.053104829","-2890316.053104829","-1065487.226213102","-1065487.226213102","-1065487.226213102"
"8","-1336561.9949003588","-1336561.9949003588","-1336561.9949003588","-2075491.7629897727","-2075491.7629897727","-2075491.7629897727","-2870247.7049885127","-2870247.7049885127","-2870247.7049885127","-1055755.9476220848","-1055755.9476220848","-1055755.9476220848"
"9","-1313615.9171498255","-1313615.9171498255","-1313615.9171498255","-2075935.4781820471","-2075935.4781820471","-2075935.4781820471","-2862791.525002434","-2862791.525002434","-2862791.525002434","-1045612.5047174835","-1045612.5047174835","-1045612.5047174835"
"10","-1298451.4700371285","-1298451.4700371285","-1298451.4700371285","-2074445.8251096106","-2074445.8251096106","-2074445.8251096106","-2857561.7722679377","-2857561.7722679377","-2857561.7722679377","-1032938.1316848883","-1032938.1316848883","-1032938.1316848883"
"11","-1291916.1360380512","-1291916.1360380512","-1291916.1360380512","-2070213.8327937478","-2070213.8327937478","-2070213.8327937478","-2851164.749467213","-2851164.749467213","-2851164.749467213","-1022657.5904862812","-1022657.5904862812","-1022657.5904862812"
"12","-1284310.136655023","-1284310.136655023","-1284310.136655023","-2069522.5535972798","-2069522.5535972798","-2069522.5535972798","-2847276.873819031","-2847276.873819031","-2847276.873819031","-1015899.6249651028","-1015899.6249651028","-1015899.6249651028"
