"Step","prudent_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean","prudent_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean__MIN","prudent_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean__MAX","neutral_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean","neutral_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean__MIN","neutral_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean__MAX","resistant_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean","resistant_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean__MIN","resistant_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean__MAX","receptive_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean","receptive_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean__MIN","receptive_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean__MAX"
"13","-1274469.7470798152","-1274469.7470798152","-1274469.7470798152","-2061258.4556148532","-2061258.4556148532","-2061258.4556148532","-2843175.685152202","-2843175.685152202","-2843175.685152202","-1010211.88982554","-1010211.88982554","-1010211.88982554"
"14","-1268319.0036370198","-1268319.0036370198","-1268319.0036370198","-2061955.3567446212","-2061955.3567446212","-2061955.3567446212","-2837213.0377687956","-2837213.0377687956","-2837213.0377687956","-998860.8782843722","-998860.8782843722","-998860.8782843722"
"15","-1264572.416368843","-1264572.416368843","-1264572.416368843","-2062589.495525782","-2062589.495525782","-2062589.495525782","-2832871.6940395734","-2832871.6940395734","-2832871.6940395734","-993026.4460800851","-993026.4460800851","-993026.4460800851"
"16","-1257612.5344523876","-1257612.5344523876","-1257612.5344523876","-2062096.3331544513","-2062096.3331544513","-2062096.3331544513","-2829666.8337136293","-2829666.8337136293","-2829666.8337136293","-985367.9451587704","-985367.9451587704","-985367.9451587704"
"17","-1253246.2962521554","-1253246.2962521554","-1253246.2962521554","-2066040.6502281113","-2066040.6502281113","-2066040.6502281113","-2828087.188000012","-2828087.188000012","-2828087.188000012","-978113.0817090004","-978113.0817090004","-978113.0817090004"
"18","-1247370.6247101538","-1247370.6247101538","-1247370.6247101538","-2072218.973774399","-2072218.973774399","-2072218.973774399","-2826584.030771669","-2826584.030771669","-2826584.030771669","-972289.8575926446","-972289.8575926446","-972289.8575926446"
"19","-1245309.3707845286","-1245309.3707845286","-1245309.3707845286","-2081171.110441131","-2081171.110441131","-2081171.110441131","-2823767.501352879","-2823767.501352879","-2823767.501352879","-967563.1396387825","-967563.1396387825","-967563.1396387825"
"20","-1243912.2011170022","-1243912.2011170022","-1243912.2011170022","-2089181.2053985712","-2089181.2053985712","-2089181.2053985712","-2823425.102104574","-2823425.102104574","-2823425.102104574","-961000.867175027","-961000.867175027","-961000.867175027"
"21","-1246850.9170139774","-1246850.9170139774","-1246850.9170139774","-2094349.2803498225","-2094349.2803498225","-2094349.2803498225","-2822054.5879763686","-2822054.5879763686","-2822054.5879763686","-955002.0003251879","-955002.0003251879","-955002.0003251879"
"22","-1252899.8052255302","-1252899.8052255302","-1252899.8052255302","-2102180.213302353","-2102180.213302353","-2102180.213302353","-2815883.276880746","-2815883.276880746","-2815883.276880746","-949781.993344893","-949781.993344893","-949781.993344893"
"23","-1257056.1003451294","-1257056.1003451294","-1257056.1003451294","-2106520.6909158565","-2106520.6909158565","-2106520.6909158565","-2812142.185791426","-2812142.185791426","-2812142.185791426","-945737.8921786841","-945737.8921786841","-945737.8921786841"
"24","-1262701.1788067438","-1262701.1788067438","-1262701.1788067438","-2115043.1752352943","-2115043.1752352943","-2115043.1752352943","-2805513.509607322","-2805513.509607322","-2805513.509607322","-940117.626045534","-940117.626045534","-940117.626045534"
"25","-1269999.0650036416","-1269999.0650036416","-1269999.0650036416","-2119364.6698356657","-2119364.6698356657","-2119364.6698356657","-2794237.594236535","-2794237.594236535","-2794237.594236535","-935775.4573636161","-935775.4573636161","-935775.4573636161"
"26","-1274895.9695379566","-1274895.9695379566","-1274895.9695379566","-2124235.8603424584","-2124235.8603424584","-2124235.8603424584","-2781407.3747137445","-2781407.3747137445","-2781407.3747137445","-933151.1683798393","-933151.1683798393","-933151.1683798393"
"27","-1279292.9212102236","-1279292.9212102236","-1279292.9212102236","-2129278.2734978264","-2129278.2734978264","-2129278.2734978264","-2770630.0758002945","-2770630.0758002945","-2770630.0758002945","-930752.3719091637","-930752.3719091637","-930752.3719091637"
"28","-1284003.370466319","-1284003.370466319","-1284003.370466319","-2134723.3666500715","-2134723.3666500715","-2134723.3666500715","-2759029.0506467875","-2759029.0506467875","-2759029.0506467875","-925701.0658850046","-925701.0658850046","-925701.0658850046"
"29","-1289132.7031844659","-1289132.7031844659","-1289132.7031844659","-2139835.9257040676","-2139835.9257040676","-2139835.9257040676","-2745517.3085057493","-2745517.3085057493","-2745517.3085057493","-921424.8576127148","-921424.8576127148","-921424.8576127148"
"30","-1292387.8233637775","-1292387.8233637775","-1292387.8233637775","-2142858.887522239","-2142858.887522239","-2142858.887522239","-2731936.412842885","-2731936.412842885","-2731936.412842885","-920080.7000931401","-920080.7000931401","-920080.7000931401"
"31","-1297565.5156206738","-1297565.5156206738","-1297565.5156206738","-2145974.4449821115","-2145974.4449821115","-2145974.4449821115","-2719137.4193761777","-2719137.4193761777","-2719137.4193761777","-918584.3753765179","-918584.3753765179","-918584.3753765179"
"32","-1300016.4223462455","-1300016.4223462455","-1300016.4223462455","-2147492.0734016723","-2147492.0734016723","-2147492.0734016723","-2707533.329364867","-2707533.329364867","-2707533.329364867","-915968.3346982615","-915968.3346982615","-915968.3346982615"
"33","-1297534.5856227477","-1297534.5856227477","-1297534.5856227477","-2150009.3692809157","-2150009.3692809157","-2150009.3692809157","-2696495.7376939543","-2696495.7376939543","-2696495.7376939543","-913860.5386920809","-913860.5386920809","-913860.5386920809"
"34","-1297666.8644412206","-1297666.8644412206","-1297666.8644412206","-2153209.0691595403","-2153209.0691595403","-2153209.0691595403","-2686297.130708486","-2686297.130708486","-2686297.130708486","-912913.3021172758","-912913.3021172758","-912913.3021172758"
"35","-1295325.8564868919","-1295325.8564868919","-1295325.8564868919","-2154954.281280079","-2154954.281280079","-2154954.281280079","-2675929.368292859","-2675929.368292859","-2675929.368292859","-912473.5070684884","-912473.5070684884","-912473.5070684884"
"36","-1294249.2541698453","-1294249.2541698453","-1294249.2541698453","-2155972.588538089","-2155972.588538089","-2155972.588538089","-2667004.5960996714","-2667004.5960996714","-2667004.5960996714","-911608.3485846457","-911608.3485846457","-911608.3485846457"
"37","-1291865.8949376738","-1291865.8949376738","-1291865.8949376738","-2159234.124764008","-2159234.124764008","-2159234.124764008","-2657646.3229484516","-2657646.3229484516","-2657646.3229484516","-909693.6642579675","-909693.6642579675","-909693.6642579675"
"38","-1290159.4212083535","-1290159.4212083535","-1290159.4212083535","-2160630.420009616","-2160630.420009616","-2160630.420009616","-2648512.6455298914","-2648512.6455298914","-2648512.6455298914","-906949.3120914163","-906949.3120914163","-906949.3120914163"
"39","-1290687.89702733","-1290687.89702733","-1290687.89702733","-2165282.2921249364","-2165282.2921249364","-2165282.2921249364","-2640718.4157041456","-2640718.4157041456","-2640718.4157041456","-906736.7547358926","-906736.7547358926","-906736.7547358926"
"40","-1291399.7697197343","-1291399.7697197343","-1291399.7697197343","-2167351.525221584","-2167351.525221584","-2167351.525221584","-2634004.2689337153","-2634004.2689337153","-2634004.2689337153","-905635.4108066804","-905635.4108066804","-905635.4108066804"
"41","-1293043.8064430212","-1293043.8064430212","-1293043.8064430212","-2171139.9204742364","-2171139.9204742364","-2171139.9204742364","-2627595.3457858106","-2627595.3457858106","-2627595.3457858106","-903580.1250565939","-903580.1250565939","-903580.1250565939"
"42","-1292099.2976698093","-1292099.2976698093","-1292099.2976698093","-2172521.0234371335","-2172521.0234371335","-2172521.0234371335","-2619898.028721401","-2619898.028721401","-2619898.028721401","-903028.8130802118","-903028.8130802118","-903028.8130802118"
"43","-1293044.0120021666","-1293044.0120021666","-1293044.0120021666","-2172234.326012783","-2172234.326012783","-2172234.326012783","-2612082.8665223727","-2612082.8665223727","-2612082.8665223727","-902569.3060936362","-902569.3060936362","-902569.3060936362"
"44","-1292208.4455543766","-1292208.4455543766","-1292208.4455543766","-2171312.959215245","-2171312.959215245","-2171312.959215245","-2604931.126188086","-2604931.126188086","-2604931.126188086","-899907.6467688197","-899907.6467688197","-899907.6467688197"
"45","-1290817.1042292835","-1290817.1042292835","-1290817.1042292835","-2170664.0966456174","-2170664.0966456174","-2170664.0966456174","-2597548.9797634883","-2597548.9797634883","-2597548.9797634883","-898726.256197564","-898726.256197564","-898726.256197564"
"46","-1287349.1553596768","-1287349.1553596768","-1287349.1553596768","-2170335.465861642","-2170335.465861642","-2170335.465861642","-2591785.433324853","-2591785.433324853","-2591785.433324853","-898183.8966546631","-898183.8966546631","-898183.8966546631"
"47","-1284093.9767830719","-1284093.9767830719","-1284093.9767830719","-2169370.1856117365","-2169370.1856117365","-2169370.1856117365","-2586393.448564173","-2586393.448564173","-2586393.448564173","-897023.0316041154","-897023.0316041154","-897023.0316041154"
"48","-1278778.0715636802","-1278778.0715636802","-1278778.0715636802","-2168701.215402437","-2168701.215402437","-2168701.215402437","-2579859.6148354653","-2579859.6148354653","-2579859.6148354653","-895976.6892808368","-895976.6892808368","-895976.6892808368"
"49","-1275615.5047925552","-1275615.5047925552","-1275615.5047925552","-2167316.9796949755","-2167316.9796949755","-2167316.9796949755","-2574644.6233955873","-2574644.6233955873","-2574644.6233955873","-895925.5586845162","-895925.5586845162","-895925.5586845162"
"50","-1271674.0787762257","-1271674.0787762257","-1271674.0787762257","-2165052.975861203","-2165052.975861203","-2165052.975861203","-2569535.152911784","-2569535.152911784","-2569535.152911784","-894863.1605548408","-894863.1605548408","-894863.1605548408"
"51","-1268199.067533268","-1268199.067533268","-1268199.067533268","-2160987.9067170885","-2160987.9067170885","-2160987.9067170885","-2564273.340738037","-2564273.340738037","-2564273.340738037","-893881.8534811861","-893881.8534811861","-893881.8534811861"
"52","-1266254.9576159022","-1266254.9576159022","-1266254.9576159022","-2159541.4713325426","-2159541.4713325426","-2159541.4713325426","-2560103.8800594914","-2560103.8800594914","-2560103.8800594914","-892584.2996462353","-892584.2996462353","-892584.2996462353"
"53","-1263495.8030087855","-1263495.8030087855","-1263495.8030087855","-2157715.3943268694","-2157715.3943268694","-2157715.3943268694","-2555343.807620286","-2555343.807620286","-2555343.807620286","-891743.7149994635","-891743.7149994635","-891743.7149994635"
"54","-1261079.5375979994","-1261079.5375979994","-1261079.5375979994","-2154595.651146178","-2154595.651146178","-2154595.651146178","-2551150.1557663754","-2551150.1557663754","-2551150.1557663754","-889575.0054496576","-889575.0054496576","-889575.0054496576"
"55","-1258339.1924048043","-1258339.1924048043","-1258339.1924048043","-2149460.3519601747","-2149460.3519601747","-2149460.3519601747","-2546305.4362991704","-2546305.4362991704","-2546305.4362991704","-889292.1993922949","-889292.1993922949","-889292.1993922949"
"56","-1254634.7309562457","-1254634.7309562457","-1254634.7309562457","-2146547.092267033","-2146547.092267033","-2146547.092267033","-2542449.1498214826","-2542449.1498214826","-2542449.1498214826","-887760.1392475507","-887760.1392475507","-887760.1392475507"
"57","-1251758.3541379194","-1251758.3541379194","-1251758.3541379194","-2142786.733646005","-2142786.733646005","-2142786.733646005","-2539328.049328318","-2539328.049328318","-2539328.049328318","-887308.3728918941","-887308.3728918941","-887308.3728918941"
"58","-1249218.9956032159","-1249218.9956032159","-1249218.9956032159","-2136316.2516473266","-2136316.2516473266","-2136316.2516473266","-2535299.9658746803","-2535299.9658746803","-2535299.9658746803","-885282.3499257354","-885282.3499257354","-885282.3499257354"
"59","-1246228.435902632","-1246228.435902632","-1246228.435902632","-2133425.7088042297","-2133425.7088042297","-2133425.7088042297","-2532701.5063927653","-2532701.5063927653","-2532701.5063927653","-885024.9478495566","-885024.9478495566","-885024.9478495566"
"60","-1244170.0714744655","-1244170.0714744655","-1244170.0714744655","-2130502.5232127164","-2130502.5232127164","-2130502.5232127164","-2530110.5928995283","-2530110.5928995283","-2530110.5928995283","-885343.6330005124","-885343.6330005124","-885343.6330005124"
"61","-1241365.292911566","-1241365.292911566","-1241365.292911566","-2127632.6966578","-2127632.6966578","-2127632.6966578","-2525989.144607268","-2525989.144607268","-2525989.144607268","-884264.6216802364","-884264.6216802364","-884264.6216802364"
"62","-1238489.7177606567","-1238489.7177606567","-1238489.7177606567","-2123379.0057466268","-2123379.0057466268","-2123379.0057466268","-2523107.5084018637","-2523107.5084018637","-2523107.5084018637","-883197.6503232184","-883197.6503232184","-883197.6503232184"
"63","-1236879.0922132474","-1236879.0922132474","-1236879.0922132474","-2121578.5978060556","-2121578.5978060556","-2121578.5978060556","-2520204.330135703","-2520204.330135703","-2520204.330135703","-882934.4949633753","-882934.4949633753","-882934.4949633753"
"64","-1234245.846747456","-1234245.846747456","-1234245.846747456","-2120411.1679629963","-2120411.1679629963","-2120411.1679629963","-2517151.8890304235","-2517151.8890304235","-2517151.8890304235","-881647.3612643214","-881647.3612643214","-881647.3612643214"
"65","-1231655.8281645365","-1231655.8281645365","-1231655.8281645365","-2119321.8584594117","-2119321.8584594117","-2119321.8584594117","-2514314.447471122","-2514314.447471122","-2514314.447471122","-880485.1332670429","-880485.1332670429","-880485.1332670429"
"66","-1229318.2642875798","-1229318.2642875798","-1229318.2642875798","-2117416.381226059","-2117416.381226059","-2117416.381226059","-2511618.9655284076","-2511618.9655284076","-2511618.9655284076","-878781.5937529915","-878781.5937529915","-878781.5937529915"
"67","-1226687.4433782245","-1226687.4433782245","-1226687.4433782245","-2115640.097855704","-2115640.097855704","-2115640.097855704","-2509508.6222191006","-2509508.6222191006","-2509508.6222191006","-876576.5810188828","-876576.5810188828","-876576.5810188828"
"68","-1224153.89356572","-1224153.89356572","-1224153.89356572","-2113546.6163320662","-2113546.6163320662","-2113546.6163320662","-2506380.3589985054","-2506380.3589985054","-2506380.3589985054","-876455.066915727","-876455.066915727","-876455.066915727"
"69","-1221485.8393904741","-1221485.8393904741","-1221485.8393904741","-2113438.4252668773","-2113438.4252668773","-2113438.4252668773","-2503096.742343426","-2503096.742343426","-2503096.742343426","-875564.0685147865","-875564.0685147865","-875564.0685147865"
"70","-1219357.8396863514","-1219357.8396863514","-1219357.8396863514","-2111335.3572400054","-2111335.3572400054","-2111335.3572400054","-2500210.8212461383","-2500210.8212461383","-2500210.8212461383","-875129.3223392474","-875129.3223392474","-875129.3223392474"
"71","-1216485.9437241296","-1216485.9437241296","-1216485.9437241296","-2110725.469702149","-2110725.469702149","-2110725.469702149","-2498140.5347219612","-2498140.5347219612","-2498140.5347219612","-873675.2638356134","-873675.2638356134","-873675.2638356134"
"72","-1213963.5857492783","-1213963.5857492783","-1213963.5857492783","-2109177.568455719","-2109177.568455719","-2109177.568455719","-2495873.914475494","-2495873.914475494","-2495873.914475494","-872329.3788052767","-872329.3788052767","-872329.3788052767"
"73","-1212039.1802298757","-1212039.1802298757","-1212039.1802298757","-2108166.3605979024","-2108166.3605979024","-2108166.3605979024","-2493366.6891073184","-2493366.6891073184","-2493366.6891073184","-872089.4441136328","-872089.4441136328","-872089.4441136328"
"74","-1210185.9455976337","-1210185.9455976337","-1210185.9455976337","-2107073.106976651","-2107073.106976651","-2107073.106976651","-2491593.965736263","-2491593.965736263","-2491593.965736263","-871261.6058714297","-871261.6058714297","-871261.6058714297"
"75","-1208408.482167445","-1208408.482167445","-1208408.482167445","-2105709.2730604266","-2105709.2730604266","-2105709.2730604266","-2490092.9460825617","-2490092.9460825617","-2490092.9460825617","-870868.4111547329","-870868.4111547329","-870868.4111547329"
"76","-1206898.2744706688","-1206898.2744706688","-1206898.2744706688","-2103663.1011954485","-2103663.1011954485","-2103663.1011954485","-2487120.6833824487","-2487120.6833824487","-2487120.6833824487","-870279.1651154051","-870279.1651154051","-870279.1651154051"
"77","-1206043.5603504458","-1206043.5603504458","-1206043.5603504458","-2101926.8442354933","-2101926.8442354933","-2101926.8442354933","-2485672.0362309767","-2485672.0362309767","-2485672.0362309767","-870110.990905208","-870110.990905208","-870110.990905208"
"78","-1204752.4881350554","-1204752.4881350554","-1204752.4881350554","-2099536.5465959418","-2099536.5465959418","-2099536.5465959418","-2483348.9705129582","-2483348.9705129582","-2483348.9705129582","-870845.2135222467","-870845.2135222467","-870845.2135222467"
"79","-1203220.322001155","-1203220.322001155","-1203220.322001155","-2097275.157839499","-2097275.157839499","-2097275.157839499","-2481914.478002093","-2481914.478002093","-2481914.478002093","-870150.9471058833","-870150.9471058833","-870150.9471058833"
"80","-1201612.9649586207","-1201612.9649586207","-1201612.9649586207","-2095966.4909681873","-2095966.4909681873","-2095966.4909681873","-2479114.812758635","-2479114.812758635","-2479114.812758635","-869577.4118069013","-869577.4118069013","-869577.4118069013"
"81","-1200084.1867791067","-1200084.1867791067","-1200084.1867791067","-2094757.4260642226","-2094757.4260642226","-2094757.4260642226","-2477582.2318768245","-2477582.2318768245","-2477582.2318768245","-868771.4019502726","-868771.4019502726","-868771.4019502726"
"82","-1199248.4893610023","-1199248.4893610023","-1199248.4893610023","-2092443.3158459088","-2092443.3158459088","-2092443.3158459088","-2475090.959905921","-2475090.959905921","-2475090.959905921","-868712.3822184285","-868712.3822184285","-868712.3822184285"
"83","-1197577.1389519642","-1197577.1389519642","-1197577.1389519642","-2089790.0545909468","-2089790.0545909468","-2089790.0545909468","-2472637.586524313","-2472637.586524313","-2472637.586524313","-868210.6785543164","-868210.6785543164","-868210.6785543164"
"84","-1196425.705076902","-1196425.705076902","-1196425.705076902","-2087434.6545695474","-2087434.6545695474","-2087434.6545695474","-2471116.0200514942","-2471116.0200514942","-2471116.0200514942","-868335.5455062384","-868335.5455062384","-868335.5455062384"
"85","-1195559.4334580235","-1195559.4334580235","-1195559.4334580235","-2085147.8613015702","-2085147.8613015702","-2085147.8613015702","-2469288.692905292","-2469288.692905292","-2469288.692905292","-868103.2030347746","-868103.2030347746","-868103.2030347746"
"86","-1193668.82739741","-1193668.82739741","-1193668.82739741","-2083165.5777672369","-2083165.5777672369","-2083165.5777672369","-2467666.0789347887","-2467666.0789347887","-2467666.0789347887","-867188.2571143033","-867188.2571143033","-867188.2571143033"
"87","-1192580.9642780148","-1192580.9642780148","-1192580.9642780148","-2081249.9245200949","-2081249.9245200949","-2081249.9245200949","-2465641.1180291777","-2465641.1180291777","-2465641.1180291777","-867690.4449028261","-867690.4449028261","-867690.4449028261"
"88","-1191597.279487693","-1191597.279487693","-1191597.279487693","-2078908.2874907483","-2078908.2874907483","-2078908.2874907483","-2463455.6218289114","-2463455.6218289114","-2463455.6218289114","-867733.3636147843","-867733.3636147843","-867733.3636147843"
"89","-1190794.6335102548","-1190794.6335102548","-1190794.6335102548","-2076016.7937964688","-2076016.7937964688","-2076016.7937964688","-2461615.72343257","-2461615.72343257","-2461615.72343257","-867781.0336345502","-867781.0336345502","-867781.0336345502"
"90","-1189599.9784282309","-1189599.9784282309","-1189599.9784282309","-2074036.5403701535","-2074036.5403701535","-2074036.5403701535","-2460044.4604792446","-2460044.4604792446","-2460044.4604792446","-867647.2201759401","-867647.2201759401","-867647.2201759401"
"91","-1187763.8145130437","-1187763.8145130437","-1187763.8145130437","-2072578.4054656073","-2072578.4054656073","-2072578.4054656073","-2459206.805856926","-2459206.805856926","-2459206.805856926","-866549.7995873579","-866549.7995873579","-866549.7995873579"
"92","-1186562.591187998","-1186562.591187998","-1186562.591187998","-2070137.5249427205","-2070137.5249427205","-2070137.5249427205","-2457606.135490655","-2457606.135490655","-2457606.135490655","-866108.0898863618","-866108.0898863618","-866108.0898863618"
"93","-1185322.0557843337","-1185322.0557843337","-1185322.0557843337","-2069192.69096765","-2069192.69096765","-2069192.69096765","-2456618.6997110746","-2456618.6997110746","-2456618.6997110746","-865744.2866810132","-865744.2866810132","-865744.2866810132"
"94","-1184471.559737352","-1184471.559737352","-1184471.559737352","-2067095.7945534268","-2067095.7945534268","-2067095.7945534268","-2455810.2955746376","-2455810.2955746376","-2455810.2955746376","-864698.2406685387","-864698.2406685387","-864698.2406685387"
"95","-1183420.2876508697","-1183420.2876508697","-1183420.2876508697","-2064700.1290594433","-2064700.1290594433","-2064700.1290594433","-2454682.3734234194","-2454682.3734234194","-2454682.3734234194","-863940.1707743551","-863940.1707743551","-863940.1707743551"
"96","-1182584.565080743","-1182584.565080743","-1182584.565080743","-2062826.511917524","-2062826.511917524","-2062826.511917524","-2453339.17257984","-2453339.17257984","-2453339.17257984","-863434.0802544352","-863434.0802544352","-863434.0802544352"
"97","-1181432.2512353298","-1181432.2512353298","-1181432.2512353298","-2061394.6645279245","-2061394.6645279245","-2061394.6645279245","-2452578.267398464","-2452578.267398464","-2452578.267398464","-863173.7065230076","-863173.7065230076","-863173.7065230076"
"98","-1180498.0927719688","-1180498.0927719688","-1180498.0927719688","-2060242.242684879","-2060242.242684879","-2060242.242684879","-2451268.436442855","-2451268.436442855","-2451268.436442855","-863112.8280512304","-863112.8280512304","-863112.8280512304"
"99","-1179885.1862861814","-1179885.1862861814","-1179885.1862861814","-2057636.7231266836","-2057636.7231266836","-2057636.7231266836","-2449818.820343562","-2449818.820343562","-2449818.820343562","-862075.473694117","-862075.473694117","-862075.473694117"
"100","-1178713.4744095001","-1178713.4744095001","-1178713.4744095001","-2055165.0849982973","-2055165.0849982973","-2055165.0849982973","-2448159.934657599","-2448159.934657599","-2448159.934657599","-862036.8476163431","-862036.8476163431","-862036.8476163431"
"101","-1177807.6247992548","-1177807.6247992548","-1177807.6247992548","-2054155.1966924665","-2054155.1966924665","-2054155.1966924665","-2446909.7976627","-2446909.7976627","-2446909.7976627","-861663.6084815185","-861663.6084815185","-861663.6084815185"
"102","-1177221.8796307524","-1177221.8796307524","-1177221.8796307524","-2053310.290827286","-2053310.290827286","-2053310.290827286","-2445665.0196792167","-2445665.0196792167","-2445665.0196792167","-861288.3948716994","-861288.3948716994","-861288.3948716994"
"103","-1175946.2245866763","-1175946.2245866763","-1175946.2245866763","-2051709.003865479","-2051709.003865479","-2051709.003865479","-2444156.977736371","-2444156.977736371","-2444156.977736371","-861336.7349512036","-861336.7349512036","-861336.7349512036"
"104","-1175239.1229765462","-1175239.1229765462","-1175239.1229765462","-2049300.5391089204","-2049300.5391089204","-2049300.5391089204","-2442229.809015145","-2442229.809015145","-2442229.809015145","-860957.9600097461","-860957.9600097461","-860957.9600097461"
"105","-1173952.465075723","-1173952.465075723","-1173952.465075723","-2047686.40967886","-2047686.40967886","-2047686.40967886","-2440809.5077669155","-2440809.5077669155","-2440809.5077669155","-861397.6854031427","-861397.6854031427","-861397.6854031427"
"106","-1173614.6885818148","-1173614.6885818148","-1173614.6885818148","-2045091.1477707794","-2045091.1477707794","-2045091.1477707794","-2439558.3540401184","-2439558.3540401184","-2439558.3540401184","-861088.6163427278","-861088.6163427278","-861088.6163427278"
"107","-1173654.6360102661","-1173654.6360102661","-1173654.6360102661","-2043478.976903355","-2043478.976903355","-2043478.976903355","-2438728.6177274683","-2438728.6177274683","-2438728.6177274683","-860704.5611678988","-860704.5611678988","-860704.5611678988"
"108","-1172881.824493745","-1172881.824493745","-1172881.824493745","-2041567.5617111817","-2041567.5617111817","-2041567.5617111817","-2438135.6478706524","-2438135.6478706524","-2438135.6478706524","-860780.7215206982","-860780.7215206982","-860780.7215206982"
"109","-1171905.5614683072","-1171905.5614683072","-1171905.5614683072","-2039590.328665053","-2039590.328665053","-2039590.328665053","-2436956.985063981","-2436956.985063981","-2436956.985063981","-860365.4527373812","-860365.4527373812","-860365.4527373812"
