"Step","prudent_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean","prudent_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean__MIN","prudent_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean__MAX","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX"
"58","-946335.0267636408","-946335.0267636408","-946335.0267636408","-759933.3890008322","-759933.3890008322","-759933.3890008322"
"59","-946336.8817772226","-946336.8817772226","-946336.8817772226","-760504.4312442481","-760504.4312442481","-760504.4312442481"
"60","-946014.4351918831","-946014.4351918831","-946014.4351918831","-761194.441481277","-761194.441481277","-761194.441481277"
"61","-945964.6317962152","-945964.6317962152","-945964.6317962152","-761172.535133802","-761172.535133802","-761172.535133802"
"62","-945555.1921562933","-945555.1921562933","-945555.1921562933","-760396.1388405719","-760396.1388405719","-760396.1388405719"
"63","-945582.705827021","-945582.705827021","-945582.705827021","-760982.9515740339","-760982.9515740339","-760982.9515740339"
"64","-945598.5665533149","-945598.5665533149","-945598.5665533149","-761158.3098683242","-761158.3098683242","-761158.3098683242"
"65","-945207.8758529132","-945207.8758529132","-945207.8758529132","-760985.0634550764","-760985.0634550764","-760985.0634550764"
"66","-944805.7117303361","-944805.7117303361","-944805.7117303361","-761004.8259703874","-761004.8259703874","-761004.8259703874"
"67","-943417.6197228682","-943417.6197228682","-943417.6197228682","-760679.5829435141","-760679.5829435141","-760679.5829435141"
"68","-943768.3292966515","-943768.3292966515","-943768.3292966515","-760773.4926975735","-760773.4926975735","-760773.4926975735"
"69","-943304.9761629748","-943304.9761629748","-943304.9761629748","-760508.5028206758","-760508.5028206758","-760508.5028206758"
"70","-943304.855049137","-943304.855049137","-943304.855049137","-760450.4521388629","-760450.4521388629","-760450.4521388629"
"71","-943796.1193787801","-943796.1193787801","-943796.1193787801","-759790.9357015966","-759790.9357015966","-759790.9357015966"
"72","-944484.3589096481","-944484.3589096481","-944484.3589096481","-759297.1348592074","-759297.1348592074","-759297.1348592074"
"73","-944745.8624186417","-944745.8624186417","-944745.8624186417","-759495.2971250856","-759495.2971250856","-759495.2971250856"
"74","-944525.0784067045","-944525.0784067045","-944525.0784067045","-759207.9902573301","-759207.9902573301","-759207.9902573301"
"75","-944974.7591000919","-944974.7591000919","-944974.7591000919","-759257.7820599594","-759257.7820599594","-759257.7820599594"
"76","-944567.185381203","-944567.185381203","-944567.185381203","-759389.5204258326","-759389.5204258326","-759389.5204258326"
"77","-944486.2675547411","-944486.2675547411","-944486.2675547411","-759966.0772053672","-759966.0772053672","-759966.0772053672"
"78","-943844.2346740097","-943844.2346740097","-943844.2346740097","-759972.7221141147","-759972.7221141147","-759972.7221141147"
"79","-943791.6073737281","-943791.6073737281","-943791.6073737281","-759993.2784927782","-759993.2784927782","-759993.2784927782"
"80","-943724.1292326384","-943724.1292326384","-943724.1292326384","-760297.8861831364","-760297.8861831364","-760297.8861831364"
"81","-943219.4918098382","-943219.4918098382","-943219.4918098382","-759871.7208180719","-759871.7208180719","-759871.7208180719"
"82","-942592.5162737456","-942592.5162737456","-942592.5162737456","-759660.8967196784","-759660.8967196784","-759660.8967196784"
"83","-943394.4008567656","-943394.4008567656","-943394.4008567656","-760061.8831611882","-760061.8831611882","-760061.8831611882"
"84","-943599.036419352","-943599.036419352","-943599.036419352","-760262.1280608096","-760262.1280608096","-760262.1280608096"
"85","-942834.5142399346","-942834.5142399346","-942834.5142399346","-760120.6948504013","-760120.6948504013","-760120.6948504013"
"86","-942235.2846156065","-942235.2846156065","-942235.2846156065","-759774.552176643","-759774.552176643","-759774.552176643"
"87","-941843.127502926","-941843.127502926","-941843.127502926","-759565.9113145373","-759565.9113145373","-759565.9113145373"
"88","-941677.8873722454","-941677.8873722454","-941677.8873722454","-759721.2607858682","-759721.2607858682","-759721.2607858682"
"89","-941442.2305062441","-941442.2305062441","-941442.2305062441","-760218.299037251","-760218.299037251","-760218.299037251"
"90","-941316.458748384","-941316.458748384","-941316.458748384","-760401.5555622501","-760401.5555622501","-760401.5555622501"
"91","-940942.2409463973","-940942.2409463973","-940942.2409463973","-760032.0035796585","-760032.0035796585","-760032.0035796585"
"92","-940925.7206983784","-940925.7206983784","-940925.7206983784","-760018.1040710972","-760018.1040710972","-760018.1040710972"
"93","-940701.2829481178","-940701.2829481178","-940701.2829481178","-759997.8395485203","-759997.8395485203","-759997.8395485203"
"94","-940362.2200852028","-940362.2200852028","-940362.2200852028","-760306.1386221272","-760306.1386221272","-760306.1386221272"
"95","-940744.9919280023","-940744.9919280023","-940744.9919280023","-760251.6905481761","-760251.6905481761","-760251.6905481761"
"96","-940718.651320472","-940718.651320472","-940718.651320472","-760612.1220370925","-760612.1220370925","-760612.1220370925"
"97","-940358.8315892852","-940358.8315892852","-940358.8315892852","-760731.4965480741","-760731.4965480741","-760731.4965480741"
"98","-940659.3794361999","-940659.3794361999","-940659.3794361999","-760909.063389007","-760909.063389007","-760909.063389007"
"99","-940347.2527593129","-940347.2527593129","-940347.2527593129","-760712.5584857579","-760712.5584857579","-760712.5584857579"
"100","-940333.0120390075","-940333.0120390075","-940333.0120390075","-760709.3396640485","-760709.3396640485","-760709.3396640485"
"101","-940085.4743134886","-940085.4743134886","-940085.4743134886","-760816.1478802842","-760816.1478802842","-760816.1478802842"
"102","-940140.8832100277","-940140.8832100277","-940140.8832100277","-761213.4837142122","-761213.4837142122","-761213.4837142122"
"103","-939545.5909529099","-939545.5909529099","-939545.5909529099","-761253.0919385346","-761253.0919385346","-761253.0919385346"
"104","-939452.8673173846","-939452.8673173846","-939452.8673173846","-761401.420521661","-761401.420521661","-761401.420521661"
"105","-939187.9472465032","-939187.9472465032","-939187.9472465032","-761039.8648710827","-761039.8648710827","-761039.8648710827"
"106","-939338.2762041205","-939338.2762041205","-939338.2762041205","-761296.6141708534","-761296.6141708534","-761296.6141708534"
"107","-939331.613759093","-939331.613759093","-939331.613759093","-761937.8291878386","-761937.8291878386","-761937.8291878386"
"108","-939367.8755939458","-939367.8755939458","-939367.8755939458","-761995.4997713403","-761995.4997713403","-761995.4997713403"
"109","-939381.3326868169","-939381.3326868169","-939381.3326868169","-761957.8241859947","-761957.8241859947","-761957.8241859947"
"110","-939800.062109646","-939800.062109646","-939800.062109646","-762164.9273855273","-762164.9273855273","-762164.9273855273"
"111","-939646.7450148851","-939646.7450148851","-939646.7450148851","-762553.5280475321","-762553.5280475321","-762553.5280475321"
"112","-939554.4239530056","-939554.4239530056","-939554.4239530056","-762463.3379999759","-762463.3379999759","-762463.3379999759"
"113","-939234.1603870112","-939234.1603870112","-939234.1603870112","-762365.6113901336","-762365.6113901336","-762365.6113901336"
"114","-939035.5588929334","-939035.5588929334","-939035.5588929334","-762205.344458392","-762205.344458392","-762205.344458392"
"115","-938444.9820106514","-938444.9820106514","-938444.9820106514","-762496.980501161","-762496.980501161","-762496.980501161"
"116","-938331.8063765711","-938331.8063765711","-938331.8063765711","-762335.6258694463","-762335.6258694463","-762335.6258694463"
"117","-937727.3909169971","-937727.3909169971","-937727.3909169971","-762361.2179022173","-762361.2179022173","-762361.2179022173"
"118","-937365.9461372196","-937365.9461372196","-937365.9461372196","-762356.0042818348","-762356.0042818348","-762356.0042818348"
"119","-937221.0645791274","-937221.0645791274","-937221.0645791274","-762219.3621955352","-762219.3621955352","-762219.3621955352"
"120","-936719.7028318703","-936719.7028318703","-936719.7028318703","-762388.4660157852","-762388.4660157852","-762388.4660157852"
"121","-936590.7587114071","-936590.7587114071","-936590.7587114071","-762206.3827551329","-762206.3827551329","-762206.3827551329"
"122","-936356.0342871748","-936356.0342871748","-936356.0342871748","-762160.7220536467","-762160.7220536467","-762160.7220536467"
"123","-935893.1636748238","-935893.1636748238","-935893.1636748238","-761975.425701437","-761975.425701437","-761975.425701437"
"124","-935517.8459052704","-935517.8459052704","-935517.8459052704","-761978.0310678043","-761978.0310678043","-761978.0310678043"
"125","-935414.8831765986","-935414.8831765986","-935414.8831765986","-762018.2712544808","-762018.2712544808","-762018.2712544808"
"126","-935621.4920485136","-935621.4920485136","-935621.4920485136","-762110.7260039444","-762110.7260039444","-762110.7260039444"
"127","-935756.5161039381","-935756.5161039381","-935756.5161039381","-762172.549585799","-762172.549585799","-762172.549585799"
"128","-935289.9005667432","-935289.9005667432","-935289.9005667432","-762212.5436110254","-762212.5436110254","-762212.5436110254"
"129","-935497.9745259812","-935497.9745259812","-935497.9745259812","-762178.9625744147","-762178.9625744147","-762178.9625744147"
"130","-935661.0300899984","-935661.0300899984","-935661.0300899984","-762561.8052831097","-762561.8052831097","-762561.8052831097"
"131","-935458.6932821261","-935458.6932821261","-935458.6932821261","-762888.8066315064","-762888.8066315064","-762888.8066315064"
"132","-935426.8052626798","-935426.8052626798","-935426.8052626798","-762791.2057082674","-762791.2057082674","-762791.2057082674"
"133","-935207.043650678","-935207.043650678","-935207.043650678","-762394.215028581","-762394.215028581","-762394.215028581"
"134","-935205.0343047369","-935205.0343047369","-935205.0343047369","-762307.2152022615","-762307.2152022615","-762307.2152022615"
"135","-935037.3567862837","-935037.3567862837","-935037.3567862837","-762596.5652729437","-762596.5652729437","-762596.5652729437"
"136","-934829.1861421235","-934829.1861421235","-934829.1861421235","-762636.8325429625","-762636.8325429625","-762636.8325429625"
"137","-934801.9296875697","-934801.9296875697","-934801.9296875697","-762459.9661860915","-762459.9661860915","-762459.9661860915"
"138","-935140.3041837404","-935140.3041837404","-935140.3041837404","-762645.7127457533","-762645.7127457533","-762645.7127457533"
"139","-934677.3904763982","-934677.3904763982","-934677.3904763982","-762587.2187775597","-762587.2187775597","-762587.2187775597"
"140","-934532.3513082748","-934532.3513082748","-934532.3513082748","-762570.1120191026","-762570.1120191026","-762570.1120191026"
"141","-934440.3943480201","-934440.3943480201","-934440.3943480201","-762385.5997545581","-762385.5997545581","-762385.5997545581"
"142","-934213.2917696357","-934213.2917696357","-934213.2917696357","-762499.5095757543","-762499.5095757543","-762499.5095757543"
"143","-934150.7626509855","-934150.7626509855","-934150.7626509855","-762405.9819633723","-762405.9819633723","-762405.9819633723"
"144","-934048.0387781474","-934048.0387781474","-934048.0387781474","-762575.8207243686","-762575.8207243686","-762575.8207243686"
"145","-934174.7094971559","-934174.7094971559","-934174.7094971559","-762786.535232474","-762786.535232474","-762786.535232474"
"146","-933915.5980612906","-933915.5980612906","-933915.5980612906","-762874.1574851072","-762874.1574851072","-762874.1574851072"
"147","-933743.9836946958","-933743.9836946958","-933743.9836946958","-763154.2146452826","-763154.2146452826","-763154.2146452826"
"148","-933912.114411761","-933912.114411761","-933912.114411761","-763124.6221972076","-763124.6221972076","-763124.6221972076"
"149","-934431.9200134879","-934431.9200134879","-934431.9200134879","-762992.592437989","-762992.592437989","-762992.592437989"
"150","-934573.579572727","-934573.579572727","-934573.579572727","-763194.5313662987","-763194.5313662987","-763194.5313662987"
"151","-934354.736750906","-934354.736750906","-934354.736750906","-762961.6972234948","-762961.6972234948","-762961.6972234948"
"152","-934568.4058293162","-934568.4058293162","-934568.4058293162","-762875.2309626468","-762875.2309626468","-762875.2309626468"
"153","-934425.375118078","-934425.375118078","-934425.375118078","-762951.6495969027","-762951.6495969027","-762951.6495969027"
"154","-934701.6348505972","-934701.6348505972","-934701.6348505972","-762958.4301512133","-762958.4301512133","-762958.4301512133"
"155","-934584.6038697188","-934584.6038697188","-934584.6038697188","-762819.9818603613","-762819.9818603613","-762819.9818603613"
"156","-934700.9807647653","-934700.9807647653","-934700.9807647653","-762579.7958144234","-762579.7958144234","-762579.7958144234"
"157","-934706.6540306213","-934706.6540306213","-934706.6540306213","-762675.9628875793","-762675.9628875793","-762675.9628875793"
"158","-934790.5084631372","-934790.5084631372","-934790.5084631372","-762513.3132022358","-762513.3132022358","-762513.3132022358"
"159","-934665.6407330133","-934665.6407330133","-934665.6407330133","-762915.6044132652","-762915.6044132652","-762915.6044132652"
"160","-934625.5919599618","-934625.5919599618","-934625.5919599618","-762716.0274790456","-762716.0274790456","-762716.0274790456"
"161","-934298.6967714046","-934298.6967714046","-934298.6967714046","-762695.4085796282","-762695.4085796282","-762695.4085796282"
"162","-934117.144764419","-934117.144764419","-934117.144764419","-762776.3755599429","-762776.3755599429","-762776.3755599429"
"163","-934210.4955452139","-934210.4955452139","-934210.4955452139","-762554.3397951431","-762554.3397951431","-762554.3397951431"
"164","-933999.7966990521","-933999.7966990521","-933999.7966990521","-762243.7497996092","-762243.7497996092","-762243.7497996092"
"165","-933896.4402538842","-933896.4402538842","-933896.4402538842","-762449.6878046164","-762449.6878046164","-762449.6878046164"
"166","-934038.0214560407","-934038.0214560407","-934038.0214560407","-762282.8506880458","-762282.8506880458","-762282.8506880458"
"167","-934072.889376365","-934072.889376365","-934072.889376365","-762364.8858207689","-762364.8858207689","-762364.8858207689"
"168","-933894.5733600125","-933894.5733600125","-933894.5733600125","-762306.2798818179","-762306.2798818179","-762306.2798818179"
"169","-933829.0020924866","-933829.0020924866","-933829.0020924866","-762374.118736094","-762374.118736094","-762374.118736094"
"170","-933815.3225328218","-933815.3225328218","-933815.3225328218","-762263.269202217","-762263.269202217","-762263.269202217"
"171","-933858.8741653025","-933858.8741653025","-933858.8741653025","-762210.8093858919","-762210.8093858919","-762210.8093858919"
"172","-933637.4713681524","-933637.4713681524","-933637.4713681524","-761840.4643390363","-761840.4643390363","-761840.4643390363"
"173","-933843.6621458262","-933843.6621458262","-933843.6621458262","-761575.9481977514","-761575.9481977514","-761575.9481977514"
"174","-933703.2972233173","-933703.2972233173","-933703.2972233173","-761526.1418785109","-761526.1418785109","-761526.1418785109"
"175","-933600.7102177729","-933600.7102177729","-933600.7102177729","-761349.9629263594","-761349.9629263594","-761349.9629263594"
"176","-933811.4754888535","-933811.4754888535","-933811.4754888535","-761389.756681666","-761389.756681666","-761389.756681666"
"177","-933619.6173462305","-933619.6173462305","-933619.6173462305","-761620.5570193683","-761620.5570193683","-761620.5570193683"
"178","-933687.7014444292","-933687.7014444292","-933687.7014444292","-761420.8561779408","-761420.8561779408","-761420.8561779408"
"179","-933652.5807727355","-933652.5807727355","-933652.5807727355","-761266.0009343419","-761266.0009343419","-761266.0009343419"
"180","-933615.9536859242","-933615.9536859242","-933615.9536859242","-761610.2812156058","-761610.2812156058","-761610.2812156058"
"181","-933538.8121674705","-933538.8121674705","-933538.8121674705","-761667.63533749","-761667.63533749","-761667.63533749"
"182","-933413.0002100378","-933413.0002100378","-933413.0002100378","-761695.2857496726","-761695.2857496726","-761695.2857496726"
"183","-933170.1495276685","-933170.1495276685","-933170.1495276685","-761713.8341351955","-761713.8341351955","-761713.8341351955"
"184","-933183.524403201","-933183.524403201","-933183.524403201","-761817.0225279597","-761817.0225279597","-761817.0225279597"
"185","-933201.1020000709","-933201.1020000709","-933201.1020000709","-761675.5591228404","-761675.5591228404","-761675.5591228404"
"186","-933379.30271154","-933379.30271154","-933379.30271154","-761489.1639990112","-761489.1639990112","-761489.1639990112"
"187","-933518.5359877014","-933518.5359877014","-933518.5359877014","-761463.3329699946","-761463.3329699946","-761463.3329699946"
"188","-933235.2531109314","-933235.2531109314","-933235.2531109314","-761313.557104077","-761313.557104077","-761313.557104077"
"189","-933122.8761736818","-933122.8761736818","-933122.8761736818","-761393.7994787589","-761393.7994787589","-761393.7994787589"
"190","-932889.2961707471","-932889.2961707471","-932889.2961707471","-761186.9241596874","-761186.9241596874","-761186.9241596874"
"191","-932999.4457395739","-932999.4457395739","-932999.4457395739","-761244.5465092884","-761244.5465092884","-761244.5465092884"
"192","-932762.3917243078","-932762.3917243078","-932762.3917243078","-761213.8223079976","-761213.8223079976","-761213.8223079976"
"193","-932673.3492195242","-932673.3492195242","-932673.3492195242","","",""
"194","-932572.1137261948","-932572.1137261948","-932572.1137261948","","",""
