"Step","prudent_train_env_t05_d07_A2C_100_100_1000_RUN - cost","prudent_train_env_t05_d07_A2C_100_100_1000_RUN - cost__MIN","prudent_train_env_t05_d07_A2C_100_100_1000_RUN - cost__MAX","prudent_train_env_t05_d07_A2C_200_200_2000_RUN - cost","prudent_train_env_t05_d07_A2C_200_200_2000_RUN - cost__MIN","prudent_train_env_t05_d07_A2C_200_200_2000_RUN - cost__MAX","prudent_train_env_t05_d07_PPO_*100_*100_*1000_RUN - cost","prudent_train_env_t05_d07_PPO_*100_*100_*1000_RUN - cost__MIN","prudent_train_env_t05_d07_PPO_*100_*100_*1000_RUN - cost__MAX","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - cost","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - cost__MIN","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - cost__MAX"
"33","4093.4091521593327","4093.4091521593327","4093.4091521593327","3862.306769299019","3862.306769299019","3862.306769299019","4046.72240731535","4046.72240731535","4046.72240731535","4098.198010722036","4098.198010722036","4098.198010722036"
"34","4066.8644412206695","4066.8644412206695","4066.8644412206695","3844.5815723391875","3844.5815723391875","3844.5815723391875","4047.9327147872336","4047.9327147872336","4047.9327147872336","4095.6550846433483","4095.6550846433483","4095.6550846433483"
"35","4042.5231535585826","4042.5231535585826","4042.5231535585826","3831.162993776021","3831.162993776021","3831.162993776021","4054.570669259754","4054.570669259754","4054.570669259754","4087.408721767362","4087.408721767362","4087.408721767362"
"36","4022.2271428183194","4022.2271428183194","4022.2271428183194","3812.6549709755045","3812.6549709755045","3812.6549709755045","4054.2158214047186","4054.2158214047186","4054.2158214047186","4085.5169297604284","4085.5169297604284","4085.5169297604284"
"37","3997.473885042236","3997.473885042236","3997.473885042236","3793.0528357486996","3793.0528357486996","3793.0528357486996","4050.1728609374536","4050.1728609374536","4050.1728609374536","4084.779655601151","4084.779655601151","4084.779655601151"
"38","3974.8058237378355","3974.8058237378355","3974.8058237378355","3774.581431179015","3774.581431179015","3774.581431179015","4041.584756534932","4041.584756534932","4041.584756534932","4088.0920618812147","4088.0920618812147","4088.0920618812147"
"39","3957.8970273299433","3957.8970273299433","3957.8970273299433","3759.543349527802","3759.543349527802","3759.543349527802","4035.4678547272806","4035.4678547272806","4035.4678547272806","4086.838891784019","4086.838891784019","4086.838891784019"
"40","3960.745329490263","3960.745329490263","3960.745329490263","3763.1729868943876","3763.1729868943876","3763.1729868943876","4035.594501900902","4035.594501900902","4035.594501900902","4096.302773957638","4096.302773957638","4096.302773957638"
"41","3958.092157306431","3958.092157306431","3958.092157306431","3767.651109081557","3767.651109081557","3767.651109081557","4025.1826392235594","4025.1826392235594","4025.1826392235594","4099.691686729665","4099.691686729665","4099.691686729665"
"42","3941.158134925295","3941.158134925295","3941.158134925295","3762.3060064625724","3762.3060064625724","3762.3060064625724","4024.635973652099","4024.635973652099","4024.635973652099","4104.900547582803","4104.900547582803","4104.900547582803"
"43","3944.012002166356","3944.012002166356","3944.012002166356","3763.397244972288","3763.397244972288","3763.397244972288","4024.7557232641793","4024.7557232641793","4024.7557232641793","4116.6162541080275","4116.6162541080275","4116.6162541080275"
"44","3928.4455543763297","3928.4455543763297","3928.4455543763297","3753.5230065167325","3753.5230065167325","3753.5230065167325","4010.3406679302925","4010.3406679302925","4010.3406679302925","4108.651593672899","4108.651593672899","4108.651593672899"
"45","3921.452055370139","3921.452055370139","3921.452055370139","3752.277003048475","3752.277003048475","3752.277003048475","4004.5639399171846","4004.5639399171846","4004.5639399171846","4112.815403815514","4112.815403815514","4112.815403815514"
"46","3910.8574873358643","3910.8574873358643","3910.8574873358643","3743.735485435446","3743.735485435446","3743.735485435446","4006.5262451272424","4006.5262451272424","4006.5262451272424","4117.849454485796","4117.849454485796","4117.849454485796"
"47","3893.976783071527","3893.976783071527","3893.976783071527","3757.0292995796626","3757.0292995796626","3757.0292995796626","4000.874693572847","4000.874693572847","4000.874693572847","4124.733457646286","4124.733457646286","4124.733457646286"
"48","3876.030747353227","3876.030747353227","3876.030747353227","3759.530290482767","3759.530290482767","3759.530290482767","4006.6875036481806","4006.6875036481806","4006.6875036481806","4124.37536888907","4124.37536888907","4124.37536888907"
"49","3855.5047925548115","3855.5047925548115","3855.5047925548115","3770.8404512350853","3770.8404512350853","3770.8404512350853","4018.5078650799564","4018.5078650799564","4018.5078650799564","4128.303558340822","4128.303558340822","4128.303558340822"
"50","3838.78465857816","3838.78465857816","3838.78465857816","3783.7829779980575","3783.7829779980575","3783.7829779980575","4015.9484604599065","4015.9484604599065","4015.9484604599065","4129.456941450227","4129.456941450227","4129.456941450227"
"51","3814.452148652095","3814.452148652095","3814.452148652095","3784.192676342958","3784.192676342958","3784.192676342958","4018.3732414875076","4018.3732414875076","4018.3732414875076","4122.054771491699","4122.054771491699","4122.054771491699"
"52","3798.3538423167297","3798.3538423167297","3798.3538423167297","3795.7434614593876","3795.7434614593876","3795.7434614593876","4014.0496802287284","4014.0496802287284","4014.0496802287284","4127.135221357789","4127.135221357789","4127.135221357789"
"53","3784.6918976738634","3784.6918976738634","3784.6918976738634","3813.9416882295714","3813.9416882295714","3813.9416882295714","4014.7104075163597","4014.7104075163597","4014.7104075163597","4127.879157713379","4127.879157713379","4127.879157713379"
"54","3774.0830525445745","3774.0830525445745","3774.0830525445745","3822.180026136882","3822.180026136882","3822.180026136882","4014.0399841521344","4014.0399841521344","4014.0399841521344","4133.307022033213","4133.307022033213","4133.307022033213"
"55","3771.335261946578","3771.335261946578","3771.335261946578","3830.7243670395605","3830.7243670395605","3830.7243670395605","4019.1762247762845","4019.1762247762845","4019.1762247762845","4135.2002950068445","4135.2002950068445","4135.2002950068445"
"56","3761.0467457187806","3761.0467457187806","3761.0467457187806","3837.9971289466985","3837.9971289466985","3837.9971289466985","4022.5289466125964","4022.5289466125964","4022.5289466125964","4131.165680804521","4131.165680804521","4131.165680804521"
"57","3758.354137918667","3758.354137918667","3758.354137918667","3853.896352215631","3853.896352215631","3853.896352215631","4025.7283339514925","4025.7283339514925","4025.7283339514925","4137.458403417801","4137.458403417801","4137.458403417801"
"58","3741.0295015203865","3741.0295015203865","3741.0295015203865","3858.5504686339277","3858.5504686339277","3858.5504686339277","4025.009814487825","4025.009814487825","4025.009814487825","4132.744933035886","4132.744933035886","4132.744933035886"
"59","3728.4359026313946","3728.4359026313946","3728.4359026313946","3860.758710453192","3860.758710453192","3860.758710453192","4027.015110555466","4027.015110555466","4027.015110555466","4126.481244248304","4126.481244248304","4126.481244248304"
"60","3724.169835120523","3724.169835120523","3724.169835120523","3867.9911166557636","3867.9911166557636","3867.9911166557636","4024.36961811225","4024.36961811225","4024.36961811225","4126.113612424818","4126.113612424818","4126.113612424818"
"61","3710.4542018880916","3710.4542018880916","3710.4542018880916","3879.016194647501","3879.016194647501","3879.016194647501","4018.1317962148355","4018.1317962148355","4018.1317962148355","4126.583520899095","4126.583520899095","4126.583520899095"
"62","3699.2415701800746","3699.2415701800746","3699.2415701800746","3888.8402629914094","3888.8402629914094","3888.8402629914094","4021.2873943881887","4021.2873943881887","4021.2873943881887","4127.8689993023845","4127.8689993023845","4127.8689993023845"
"63","3691.5922132469404","3691.5922132469404","3691.5922132469404","3888.1317024690684","3888.1317024690684","3888.1317024690684","4023.3777020207094","4023.3777020207094","4023.3777020207094","4119.451574034268","4119.451574034268","4119.451574034268"
"64","3682.7698243783957","3682.7698243783957","3682.7698243783957","3893.402893049269","3893.402893049269","3893.402893049269","4022.3973225453847","4022.3973225453847","4022.3973225453847","4122.371406785972","4122.371406785972","4122.371406785972"
"65","3674.0099827177305","3674.0099827177305","3674.0099827177305","3896.351975086135","3896.351975086135","3896.351975086135","4024.9061559432407","4024.9061559432407","4024.9061559432407","4119.03315204635","4119.03315204635","4119.03315204635"
"66","3661.5478696688406","3661.5478696688406","3661.5478696688406","3896.143642452561","3896.143642452561","3896.143642452561","4023.457998992486","4023.457998992486","4023.457998992486","4110.452836059257","4110.452836059257","4110.452836059257"
"67","3649.208084106263","3649.208084106263","3649.208084106263","3886.6039917138446","3886.6039917138446","3886.6039917138446","4015.8550169854366","4015.8550169854366","4015.8550169854366","4111.8035317495705","4111.8035317495705","4111.8035317495705"
"68","3640.8500874584247","3640.8500874584247","3640.8500874584247","3890.171997139718","3890.171997139718","3890.171997139718","4017.7495865062683","4017.7495865062683","4017.7495865062683","4116.492697573692","4116.492697573692","4116.492697573692"
"69","3631.5536761877393","3631.5536761877393","3631.5536761877393","3886.9691066913183","3886.9691066913183","3886.9691066913183","4026.5047344030704","4026.5047344030704","4026.5047344030704","4117.445677818841","4117.445677818841","4117.445677818841"
"70","3631.0791229704846","3631.0791229704846","3631.0791229704846","3891.6712742089326","3891.6712742089326","3891.6712742089326","4021.967725192943","4021.967725192943","4021.967725192943","4120.536645905268","4120.536645905268","4120.536645905268"
"71","3619.2770574622427","3619.2770574622427","3619.2770574622427","3886.7179927037632","3886.7179927037632","3886.7179927037632","4027.8416010020364","4027.8416010020364","4027.8416010020364","4113.046812707774","4113.046812707774","4113.046812707774"
"72","3607.421365716089","3607.421365716089","3607.421365716089","3887.444075040275","3887.444075040275","3887.444075040275","4030.126032935551","4030.126032935551","4030.126032935551","4110.970475645939","4110.970475645939","4110.970475645939"
"73","3598.6396893346177","3598.6396893346177","3598.6396893346177","3881.7994437322163","3881.7994437322163","3881.7994437322163","4039.2407970197155","4039.2407970197155","4039.2407970197155","4106.486314274851","4106.486314274851","4106.486314274851"
"74","3593.9455976332833","3593.9455976332833","3593.9455976332833","3880.6982924705844","3880.6982924705844","3880.6982924705844","4043.331740037393","4043.331740037393","4043.331740037393","4104.4302573302575","4104.4302573302575","4104.4302573302575"
"75","3584.797956918101","3584.797956918101","3584.797956918101","3880.2929533984993","3880.2929533984993","3880.2929533984993","4037.2064685125165","4037.2064685125165","4037.2064685125165","4100.453112591109","4100.453112591109","4100.453112591109"
"76","3578.7939511877494","3578.7939511877494","3578.7939511877494","3886.581393354295","3886.581393354295","3886.581393354295","4043.3801863972944","4043.3801863972944","4043.3801863972944","4104.455490767847","4104.455490767847","4104.455490767847"
"77","3574.329581214611","3574.329581214611","3574.329581214611","3886.6478952643206","3886.6478952643206","3886.6478952643206","4038.2547342277694","4038.2547342277694","4038.2547342277694","4103.256692546872","4103.256692546872","4103.256692546872"
"78","3567.6780084727893","3567.6780084727893","3567.6780084727893","3887.173386570389","3887.173386570389","3887.173386570389","4036.8802436294995","4036.8802436294995","4036.8802436294995","4103.836038165525","4103.836038165525","4103.836038165525"
"79","3565.3220011546173","3565.3220011546173","3565.3220011546173","3889.005451905533","3889.005451905533","3889.005451905533","4029.65737372756","4029.65737372756","4029.65737372756","4105.8659927783265","4105.8659927783265","4105.8659927783265"
"80","3561.1131067682713","3561.1131067682713","3561.1131067682713","3890.2913657963745","3890.2913657963745","3890.2913657963745","4031.067504242786","4031.067504242786","4031.067504242786","4103.293590543946","4103.293590543946","4103.293590543946"
"81","3552.4794620330404","3552.4794620330404","3552.4794620330404","3886.557342597135","3886.557342597135","3886.557342597135","4037.0649805694807","4037.0649805694807","4037.0649805694807","4104.6354522182955","4104.6354522182955","4104.6354522182955"
"82","3542.4652646162017","3542.4652646162017","3542.4652646162017","3879.7557907666833","3879.7557907666833","3879.7557907666833","4039.624707480067","4039.624707480067","4039.624707480067","4096.4509365460335","4096.4509365460335","4096.4509365460335"
"83","3534.2818091064364","3534.2818091064364","3534.2818091064364","3879.7368977011884","3879.7368977011884","3879.7368977011884","4046.210380574711","4046.210380574711","4046.210380574711","4088.121256426466","4088.121256426466","4088.121256426466"
"84","3533.9403710188967","3533.9403710188967","3533.9403710188967","3883.8560461485768","3883.8560461485768","3883.8560461485768","4045.271713469224","4045.271713469224","4045.271713469224","4093.3751196331946","4093.3751196331946","4093.3751196331946"
"85","3526.8753184880284","3526.8753184880284","3526.8753184880284","3885.9601593543516","3885.9601593543516","3885.9601593543516","4043.2002864457763","4043.2002864457763","4043.2002864457763","4095.252989936303","4095.252989936303","4095.252989936303"
"86","3523.999811202655","3523.999811202655","3523.999811202655","3888.49837737852","3888.49837737852","3888.49837737852","4040.2386385945733","4040.2386385945733","4040.2386385945733","4097.713096183384","4097.713096183384","4097.713096183384"
"87","3517.327914378099","3517.327914378099","3517.327914378099","3890.9668362942084","3890.9668362942084","3890.9668362942084","4034.695684743754","4034.695684743754","4034.695684743754","4097.2181327191365","4097.2181327191365","4097.2181327191365"
"88","3516.3806112881193","3516.3806112881193","3516.3806112881193","3898.0574354306464","3898.0574354306464","3898.0574354306464","4038.426698087735","4038.426698087735","4038.426698087735","4104.170898227824","4104.170898227824","4104.170898227824"
"89","3507.966843587734","3507.966843587734","3507.966843587734","3892.5232110498087","3892.5232110498087","3892.5232110498087","4035.3082840214634","4035.3082840214634","4035.3082840214634","4105.254592806685","4105.254592806685","4105.254592806685"
"90","3505.472933724955","3505.472933724955","3505.472933724955","3895.6239085062834","3895.6239085062834","3895.6239085062834","4039.085122010011","4039.085122010011","4039.085122010011","4106.159957854612","4106.159957854612","4106.159957854612"
"91","3500.771034782526","3500.771034782526","3500.771034782526","3893.148075809217","3893.148075809217","3893.148075809217","4038.9583377013973","4038.9583377013973","4038.9583377013973","4101.427492702111","4101.427492702111","4101.427492702111"
"92","3498.075058965378","3498.075058965378","3498.075058965378","3897.492328137379","3897.492328137379","3897.492328137379","4041.785214507175","4041.785214507175","4041.785214507175","4101.1685872263315","4101.1685872263315","4101.1685872263315"
"93","3494.3962098653637","3494.3962098653637","3494.3962098653637","3903.0289644587306","3903.0289644587306","3903.0289644587306","4040.676565138751","4040.676565138751","4040.676565138751","4107.871463413978","4107.871463413978","4107.871463413978"
"94","3488.4018426147204","3488.4018426147204","3488.4018426147204","3899.637896393711","3899.637896393711","3899.637896393711","4039.872716781497","4039.872716781497","4039.872716781497","4104.085990548347","4104.085990548347","4104.085990548347"
"95","3482.7876508693766","3482.7876508693766","3482.7876508693766","3901.647216138917","3901.647216138917","3901.647216138917","4045.419011335349","4045.419011335349","4045.419011335349","4107.7738815094335","4107.7738815094335","4107.7738815094335"
"96","3473.2248745571533","3473.2248745571533","3473.2248745571533","3901.3235031562567","3901.3235031562567","3901.3235031562567","4052.692557585191","4052.692557585191","4052.692557585191","4104.14265564916","4104.14265564916","4104.14265564916"
"97","3466.945112880475","3466.945112880475","3466.945112880475","3897.7348802663932","3897.7348802663932","3897.7348802663932","4056.484650509463","4056.484650509463","4056.484650509463","4101.76185419649","4101.76185419649","4101.76185419649"
"98","3461.7291356050428","3461.7291356050428","3461.7291356050428","3901.57857277986","3901.57857277986","3901.57857277986","4059.591557411726","4059.591557411726","4059.591557411726","4104.103793047424","4104.103793047424","4104.103793047424"
"99","3459.1862861812547","3459.1862861812547","3459.1862861812547","3899.091596373427","3899.091596373427","3899.091596373427","4061.142759312655","4061.142759312655","4061.142759312655","4101.378485757885","4101.378485757885","4101.378485757885"
"100","3456.048666925586","3456.048666925586","3456.048666925586","3898.706108204466","3898.706108204466","3898.706108204466","4064.5862964331295","4064.5862964331295","4064.5862964331295","4102.6960996921225","4102.6960996921225","4102.6960996921225"
"101","3454.6836227840554","3454.6836227840554","3454.6836227840554","3900.6017313645534","3900.6017313645534","3900.6017313645534","4061.5135291747883","4061.5135291747883","4061.5135291747883","4101.020429303881","4101.020429303881","4101.020429303881"
"102","3452.947591916991","3452.947591916991","3452.947591916991","3901.615198792515","3901.615198792515","3901.615198792515","4061.747287697438","4061.747287697438","4061.747287697438","4101.308956930688","4101.308956930688","4101.308956930688"
"103","3453.916894368157","3453.916894368157","3453.916894368157","3901.5155200477407","3901.5155200477407","3901.5155200477407","4063.6294144481635","4063.6294144481635","4063.6294144481635","4103.159246226999","4103.159246226999","4103.159246226999"
"104","3450.551547974406","3450.551547974406","3450.551547974406","3902.141566779058","3902.141566779058","3902.141566779058","4065.8673173843545","4065.8673173843545","4065.8673173843545","4097.030045470634","4097.030045470634","4097.030045470634"
"105","3443.0311134582885","3443.0311134582885","3443.0311134582885","3902.3855537056725","3902.3855537056725","3902.3855537056725","4065.0321521632854","4065.0321521632854","4065.0321521632854","4097.053550328007","4097.053550328007","4097.053550328007"
"106","3440.8568061134906","3440.8568061134906","3440.8568061134906","3903.6881765632156","3903.6881765632156","3903.6881765632156","4063.986484494087","4063.986484494087","4063.986484494087","4098.24033907772","4098.24033907772","4098.24033907772"
"107","3437.9693435991003","3437.9693435991003","3437.9693435991003","3899.745700983668","3899.745700983668","3899.745700983668","4063.7341294631156","4063.7341294631156","4063.7341294631156","4092.9958545052796","4092.9958545052796","4092.9958545052796"
"108","3432.283209340972","3432.283209340972","3432.283209340972","3896.036578765006","3896.036578765006","3896.036578765006","4063.104951743702","4063.104951743702","4063.104951743702","4089.784175010121","4089.784175010121","4089.784175010121"
"109","3427.3796501249967","3427.3796501249967","3427.3796501249967","3897.068590684176","3897.068590684176","3897.068590684176","4063.9054140893827","4063.9054140893827","4063.9054140893827","4086.4332769038897","4086.4332769038897","4086.4332769038897"
"110","3425.262045555861","3425.262045555861","3425.262045555861","3894.2041496463803","3894.2041496463803","3894.2041496463803","4069.2152627989385","4069.2152627989385","4069.2152627989385","4084.9454035454683","4084.9454035454683","4084.9454035454683"
"111","3419.7420716282386","3419.7420716282386","3419.7420716282386","3892.004998757219","3892.004998757219","3892.004998757219","4071.0932291704544","4071.0932291704544","4071.0932291704544","4085.0191189608995","4085.0191189608995","4085.0191189608995"
"112","3414.930725149514","3414.930725149514","3414.930725149514","3892.4116213812554","3892.4116213812554","3892.4116213812554","4066.981475129133","4066.981475129133","4066.981475129133","4080.815876082315","4080.815876082315","4080.815876082315"
"113","3411.3705344678197","3411.3705344678197","3411.3705344678197","3890.3961813605483","3890.3961813605483","3890.3961813605483","4067.7744220986415","4067.7744220986415","4067.7744220986415","4079.207881361789","4079.207881361789","4079.207881361789"
"114","3409.8465139534355","3409.8465139534355","3409.8465139534355","3892.701499520182","3892.701499520182","3892.701499520182","4068.315414672257","4068.315414672257","4068.315414672257","4078.5444583921417","4078.5444583921417","4078.5444583921417"
"115","3410.209556758664","3410.209556758664","3410.209556758664","3895.4842523061584","3895.4842523061584","3895.4842523061584","4066.3009761682993","4066.3009761682993","4066.3009761682993","4078.9460184023987","4078.9460184023987","4078.9460184023987"
"116","3402.3609109472814","3402.3609109472814","3402.3609109472814","3892.2340800765337","3892.2340800765337","3892.2340800765337","4061.0969748612933","4061.0969748612933","4061.0969748612933","4073.848091668652","4073.848091668652","4073.848091668652"
"117","3405.302944235871","3405.302944235871","3405.302944235871","3893.679319361261","3893.679319361261","3893.679319361261","4056.9163407255737","4056.9163407255737","4056.9163407255737","4078.0314615393368","4078.0314615393368","4078.0314615393368"
"118","3403.7394519583886","3403.7394519583886","3403.7394519583886","3892.5540327164686","3892.5540327164686","3892.5540327164686","4052.9881540259626","4052.9881540259626","4052.9881540259626","4079.2731893978385","4079.2731893978385","4079.2731893978385"
"119","3399.2125667513346","3399.2125667513346","3399.2125667513346","3891.2261335624976","3891.2261335624976","3891.2261335624976","4047.3062457937503","4047.3062457937503","4047.3062457937503","4077.7955288686876","4077.7955288686876","4077.7955288686876"
"120","3396.052105058623","3396.052105058623","3396.052105058623","3893.021779289825","3893.021779289825","3893.021779289825","4047.487955836904","4047.487955836904","4047.487955836904","4081.275933140705","4081.275933140705","4081.275933140705"
"121","3391.7900609657518","3391.7900609657518","3391.7900609657518","3892.778317450311","3892.778317450311","3892.778317450311","4048.8652687837666","4048.8652687837666","4048.8652687837666","4077.85816496905","4077.85816496905","4077.85816496905"
"122","3391.2824374075785","3391.2824374075785","3391.2824374075785","3892.138884841123","3892.138884841123","3892.138884841123","4050.7822546541033","4050.7822546541033","4050.7822546541033","4077.535061776858","4077.535061776858","4077.535061776858"
"123","3392.142037174483","3392.142037174483","3392.142037174483","3890.6517518880178","3890.6517518880178","3890.6517518880178","4053.341094178341","4053.341094178341","4053.341094178341","4079.0627982113997","4079.0627982113997","4079.0627982113997"
