"Step","prudent_train_env_t05_d07_A2C_100_100_1000_RUN - cost","prudent_train_env_t05_d07_A2C_100_100_1000_RUN - cost__MIN","prudent_train_env_t05_d07_A2C_100_100_1000_RUN - cost__MAX","neutral_train_env_t05_d07_A2C_100_100_1000_RUN - cost","neutral_train_env_t05_d07_A2C_100_100_1000_RUN - cost__MIN","neutral_train_env_t05_d07_A2C_100_100_1000_RUN - cost__MAX","resistant_train_env_t05_d07_A2C_100_100_1000_RUN - cost","resistant_train_env_t05_d07_A2C_100_100_1000_RUN - cost__MIN","resistant_train_env_t05_d07_A2C_100_100_1000_RUN - cost__MAX","receptive_train_env_t05_d07_A2C_100_100_1000_RUN - cost","receptive_train_env_t05_d07_A2C_100_100_1000_RUN - cost__MIN","receptive_train_env_t05_d07_A2C_100_100_1000_RUN - cost__MAX"
"15","4009.9163688430776","4009.9163688430776","4009.9163688430776","11639.495525781658","11639.495525781658","11639.495525781658","9834.19403957307","9834.19403957307","9834.19403957307","12738.946080085127","12738.946080085127","12738.946080085127"
"16","4000.7697465052293","4000.7697465052293","4000.7697465052293","11649.274330921608","11649.274330921608","11649.274330921608","9772.716066569968","9772.716066569968","9772.716066569968","12732.65104112344","12732.65104112344","12732.65104112344"
"17","4012.962918822104","4012.962918822104","4012.962918822104","11673.98356144414","11673.98356144414","11673.98356144414","9720.521333345103","9720.521333345103","9720.521333345103","12746.41504233393","12746.41504233393","12746.41504233393"
"18","4012.729973311732","4012.729973311732","4012.729973311732","11692.657984924845","11692.657984924845","11692.657984924845","9678.767613774247","9678.767613774247","9678.767613774247","12795.120750539552","12795.120750539552","12795.120750539552"
"19","3999.3707845287004","3999.3707845287004","3999.3707845287004","11711.11044113064","11711.11044113064","11711.11044113064","9647.501352879184","9647.501352879184","9647.501352879184","12813.139638782544","12813.139638782544","12813.139638782544"
"20","3997.915402716544","3997.915402716544","3997.915402716544","11752.633969999364","11752.633969999364","11752.633969999364","9653.673533145184","9653.673533145184","9653.673533145184","12800.867175027097","12800.867175027097","12800.867175027097"
"21","4005.4624685230065","4005.4624685230065","4005.4624685230065","11749.280349822175","11749.280349822175","11749.280349822175","9663.678885459258","9663.678885459258","9663.678885459258","12811.091234278936","12811.091234278936","12811.091234278936"
"22","4038.935660312767","4038.935660312767","4038.935660312767","11780.213302352688","11780.213302352688","11780.213302352688","9683.276880745518","9683.276880745518","9683.276880745518","12842.862910110569","12842.862910110569","12842.862910110569"
"23","4056.1003451295105","4056.1003451295105","4056.1003451295105","11795.69091585616","11795.69091585616","11795.69091585616","9717.185791425649","9717.185791425649","9717.185791425649","12862.892178684337","12862.892178684337","12862.892178684337"
"24","4069.1788067439147","4069.1788067439147","4069.1788067439147","11851.175235293937","11851.175235293937","11851.175235293937","9777.509607321766","9777.509607321766","9777.509607321766","12877.626045534234","12877.626045534234","12877.626045534234"
"25","4068.2957728724086","4068.2957728724086","4068.2957728724086","11887.746758742356","11887.746758742356","11887.746758742356","9868.363467303703","9868.363467303703","9868.363467303703","12883.149671308609","12883.149671308609","12883.149671308609"
"26","4073.7473157343707","4073.7473157343707","4073.7473157343707","11924.74923134681","11924.74923134681","11924.74923134681","9940.708047077016","9940.708047077016","9940.708047077016","12906.723935394943","12906.723935394943","12906.723935394943"
"27","4078.6354959378054","4078.6354959378054","4078.6354959378054","11942.55921211171","11942.55921211171","11942.55921211171","10008.64722886505","10008.64722886505","10008.64722886505","12923.800480592312","12923.800480592312","12923.800480592312"
"28","4099.922190456818","4099.922190456818","4099.922190456818","11944.05630524383","11944.05630524383","11944.05630524383","10077.326508855938","10077.326508855938","10077.326508855938","12935.548643625414","12935.548643625414","12935.548643625414"
"29","4112.703184465705","4112.703184465705","4112.703184465705","11955.925704067153","11955.925704067153","11955.925704067153","10137.308505748506","10137.308505748506","10137.308505748506","12944.857612714926","12944.857612714926","12944.857612714926"
"30","4110.404008938525","4110.404008938525","4110.404008938525","11968.56494159346","11968.56494159346","11968.56494159346","10181.574133207037","10181.574133207037","10181.574133207037","12958.119447979028","12958.119447979028","12958.119447979028"
"31","4115.515620673669","4115.515620673669","4115.515620673669","11980.694982110972","11980.694982110972","11980.694982110972","10231.169376177002","10231.169376177002","10231.169376177002","12978.125376518063","12978.125376518063","12978.125376518063"
"32","4107.331437154595","4107.331437154595","4107.331437154595","11982.982492581004","11982.982492581004","11982.982492581004","10278.78391032087","10278.78391032087","10278.78391032087","12986.51651644341","12986.51651644341","12986.51651644341"
"33","4093.4091521593327","4093.4091521593327","4093.4091521593327","11997.604575033089","11997.604575033089","11997.604575033089","10331.031811600375","10331.031811600375","10331.031811600375","12995.832809728141","12995.832809728141","12995.832809728141"
"34","4066.8644412206695","4066.8644412206695","4066.8644412206695","12014.783445254321","12014.783445254321","12014.783445254321","10365.70213705657","10365.70213705657","10365.70213705657","13016.159260133123","13016.159260133123","13016.159260133123"
"35","4042.5231535585826","4042.5231535585826","4042.5231535585826","12020.94794674503","12020.94794674503","12020.94794674503","10412.701626191709","10412.701626191709","10412.701626191709","13023.507068488656","13023.507068488656","13023.507068488656"
"36","4022.2271428183194","4022.2271428183194","4022.2271428183194","12026.642592142438","12026.642592142438","12026.642592142438","10447.839342914089","10447.839342914089","10447.839342914089","13035.375611672853","13035.375611672853","13035.375611672853"
"37","3997.473885042236","3997.473885042236","3997.473885042236","12039.38792190206","12039.38792190206","12039.38792190206","10493.69136950353","10493.69136950353","10493.69136950353","13041.032679020202","13041.032679020202","13041.032679020202"
"38","3974.8058237378355","3974.8058237378355","3974.8058237378355","12045.804624999786","12045.804624999786","12045.804624999786","10528.030145275545","10528.030145275545","10528.030145275545","13057.004399108513","13057.004399108513","13057.004399108513"
"39","3957.8970273299433","3957.8970273299433","3957.8970273299433","12047.292124935873","12047.292124935873","12047.292124935873","10558.41570414502","10558.41570414502","10558.41570414502","13066.754735892515","13066.754735892515","13066.754735892515"
"40","3960.745329490263","3960.745329490263","3960.745329490263","12049.086197193523","12049.086197193523","12049.086197193523","10584.756738592589","10584.756738592589","10584.756738592589","13069.557148143671","13069.557148143671","13069.557148143671"
"41","3958.092157306431","3958.092157306431","3958.092157306431","12039.920474236324","12039.920474236324","12039.920474236324","10609.631500095982","10609.631500095982","10609.631500095982","13065.839342308087","13065.839342308087","13065.839342308087"
"42","3941.158134925295","3941.158134925295","3941.158134925295","12032.651344109872","12032.651344109872","12032.651344109872","10637.563605121075","10637.563605121075","10637.563605121075","13075.324708118664","13075.324708118664","13075.324708118664"
"43","3944.012002166356","3944.012002166356","3944.012002166356","12043.416921873782","12043.416921873782","12043.416921873782","10660.139249644923","10660.139249644923","10660.139249644923","13082.942457272475","13082.942457272475","13082.942457272475"
"44","3928.4455543763297","3928.4455543763297","3928.4455543763297","12046.292548578356","12046.292548578356","12046.292548578356","10677.792854752004","10677.792854752004","10677.792854752004","13080.980102152827","13080.980102152827","13080.980102152827"
"45","3921.452055370139","3921.452055370139","3921.452055370139","12046.705341269166","12046.705341269166","12046.705341269166","10701.153676531361","10701.153676531361","10701.153676531361","13087.125762781285","13087.125762781285","13087.125762781285"
"46","3910.8574873358643","3910.8574873358643","3910.8574873358643","12046.104159513721","12046.104159513721","12046.104159513721","10725.85885676711","10725.85885676711","10725.85885676711","13094.534952535314","13094.534952535314","13094.534952535314"
"47","3893.976783071527","3893.976783071527","3893.976783071527","12045.185611736468","12045.185611736468","12045.185611736468","10743.44856417263","10743.44856417263","10743.44856417263","13098.03160411529","13098.03160411529","13098.03160411529"
"48","3876.030747353227","3876.030747353227","3876.030747353227","12044.072545293997","12044.072545293997","12044.072545293997","10757.57401913781","10757.57401913781","10757.57401913781","13095.056627775493","13095.056627775493","13095.056627775493"
"49","3855.5047925548115","3855.5047925548115","3855.5047925548115","12056.979694975364","12056.979694975364","12056.979694975364","10784.62339558641","10784.62339558641","10784.62339558641","13097.5586845161","13097.5586845161","13097.5586845161"
"50","3838.78465857816","3838.78465857816","3838.78465857816","12041.21115532014","12041.21115532014","12041.21115532014","10805.741147077812","10805.741147077812","10805.741147077812","13110.21937837018","13110.21937837018","13110.21937837018"
"51","3814.452148652095","3814.452148652095","3814.452148652095","12030.214409395596","12030.214409395596","12030.214409395596","10823.34073803656","10823.34073803656","10823.34073803656","13116.468865801375","13116.468865801375","13116.468865801375"
"52","3798.3538423167297","3798.3538423167297","3798.3538423167297","12028.263785372457","12028.263785372457","12028.263785372457","10839.729116094733","10839.729116094733","10839.729116094733","13131.469457555862","13131.469457555862","13131.469457555862"
"53","3784.6918976738634","3784.6918976738634","3784.6918976738634","12026.505437980026","12026.505437980026","12026.505437980026","10854.918731396734","10854.918731396734","10854.918731396734","13132.603888352307","13132.603888352307","13132.603888352307"
"54","3774.0830525445745","3774.0830525445745","3774.0830525445745","12017.469327996007","12017.469327996007","12017.469327996007","10870.155766375281","10870.155766375281","10870.155766375281","13138.641813293772","13138.641813293772","13138.641813293772"
"55","3771.335261946578","3771.335261946578","3771.335261946578","12003.209103031684","12003.209103031684","12003.209103031684","10887.579156313042","10887.579156313042","10887.579156313042","13142.199392294755","13142.199392294755","13142.199392294755"
"56","3761.0467457187806","3761.0467457187806","3761.0467457187806","11999.723845980152","11999.723845980152","11999.723845980152","10901.781400429816","10901.781400429816","10901.781400429816","13139.086615971706","13139.086615971706","13139.086615971706"
"57","3758.354137918667","3758.354137918667","3758.354137918667","11990.181921866932","11990.181921866932","11990.181921866932","10917.70450073149","10917.70450073149","10917.70450073149","13139.407374652594","13139.407374652594","13139.407374652594"
"58","3741.0295015203865","3741.0295015203865","3741.0295015203865","11970.488935461677","11970.488935461677","11970.488935461677","10927.08451874794","10927.08451874794","10927.08451874794","13146.75670539627","13146.75670539627","13146.75670539627"
"59","3728.4359026313946","3728.4359026313946","3728.4359026313946","11955.708804229296","11955.708804229296","11955.708804229296","10941.506392765215","10941.506392765215","10941.506392765215","13144.947849556387","13144.947849556387","13144.947849556387"
"60","3724.169835120523","3724.169835120523","3724.169835120523","11961.539606158489","11961.539606158489","11961.539606158489","10956.494538872015","10956.494538872015","10956.494538872015","13150.190377561426","13150.190377561426","13150.190377561426"
"61","3710.4542018880916","3710.4542018880916","3710.4542018880916","11955.27730296085","11955.27730296085","11955.27730296085","10973.015575009495","10973.015575009495","10973.015575009495","13151.7184544298","13151.7184544298","13151.7184544298"
"62","3699.2415701800746","3699.2415701800746","3699.2415701800746","11950.434318054931","11950.434318054931","11950.434318054931","10983.698878053458","10983.698878053458","10983.698878053458","13150.031275599235","13150.031275599235","13150.031275599235"
"63","3691.5922132469404","3691.5922132469404","3691.5922132469404","11959.84780605547","11959.84780605547","11959.84780605547","10994.95513570266","10994.95513570266","10994.95513570266","13150.119963375122","13150.119963375122","13150.119963375122"
"64","3682.7698243783957","3682.7698243783957","3682.7698243783957","11965.014116842385","11965.014116842385","11965.014116842385","11007.273645807596","11007.273645807596","11007.273645807596","13151.976648936614","13151.976648936614","13151.976648936614"
"65","3674.0099827177305","3674.0099827177305","3674.0099827177305","11967.313004866197","11967.313004866197","11967.313004866197","11023.53838021212","11023.53838021212","11023.53838021212","13157.86053977012","13157.86053977012","13157.86053977012"
"66","3661.5478696688406","3661.5478696688406","3661.5478696688406","11971.605106656036","11971.605106656036","11971.605106656036","11033.890901541472","11033.890901541472","11033.890901541472","13151.743006722918","13151.743006722918","13151.743006722918"
"67","3649.208084106263","3649.208084106263","3649.208084106263","11978.333149821066","11978.333149821066","11978.333149821066","11046.85751321775","11046.85751321775","11046.85751321775","13150.110430647403","13150.110430647403","13150.110430647403"
"68","3640.8500874584247","3640.8500874584247","3640.8500874584247","11990.094592935613","11990.094592935613","11990.094592935613","11058.619868070318","11058.619868070318","11058.619868070318","13150.719089639926","13150.719089639926","13150.719089639926"
"69","3631.5536761877393","3631.5536761877393","3631.5536761877393","11998.425266876871","11998.425266876871","11998.425266876871","11065.313771997142","11065.313771997142","11065.313771997142","13149.782800500756","13149.782800500756","13149.782800500756"
"70","3631.0791229704846","3631.0791229704846","3631.0791229704846","12002.962873807699","12002.962873807699","12002.962873807699","11072.793077123759","11072.793077123759","11072.793077123759","13157.491353331892","13157.491353331892","13157.491353331892"
"71","3619.2770574622427","3619.2770574622427","3619.2770574622427","12008.80303548217","12008.80303548217","12008.80303548217","11082.20138862761","11082.20138862761","11082.20138862761","13158.59716894668","13158.59716894668","13158.59716894668"
"72","3607.421365716089","3607.421365716089","3607.421365716089","12013.184894074964","12013.184894074964","12013.184894074964","11093.09255768539","11093.09255768539","11093.09255768539","13162.255517605403","13162.255517605403","13162.255517605403"
"73","3598.6396893346177","3598.6396893346177","3598.6396893346177","12017.71194925378","12017.71194925378","12017.71194925378","11101.824242452882","11101.824242452882","11101.824242452882","13165.119789308419","13165.119789308419","13165.119789308419"
"74","3593.9455976332833","3593.9455976332833","3593.9455976332833","12025.106976651306","12025.106976651306","12025.106976651306","11113.96573626248","11113.96573626248","11113.96573626248","13165.605871429565","13165.605871429565","13165.605871429565"
"75","3584.797956918101","3584.797956918101","3584.797956918101","12025.062534110817","12025.062534110817","12025.062534110817","11121.893450982685","11121.893450982685","11121.893450982685","13168.411154732781","13168.411154732781","13168.411154732781"
"76","3578.7939511877494","3578.7939511877494","3578.7939511877494","12031.932364279604","12031.932364279604","12031.932364279604","11131.072992838117","11131.072992838117","11131.072992838117","13167.476803716658","13167.476803716658","13167.476803716658"
"77","3574.329581214611","3574.329581214611","3574.329581214611","12026.844235493265","12026.844235493265","12026.844235493265","11141.267000207035","11141.267000207035","11141.267000207035","13172.529366746336","13172.529366746336","13172.529366746336"
"78","3567.6780084727893","3567.6780084727893","3567.6780084727893","12022.622545309117","12022.622545309117","12022.622545309117","11151.502158527188","11151.502158527188","11151.502158527188","13171.795800727594","13171.795800727594","13171.795800727594"
"79","3565.3220011546173","3565.3220011546173","3565.3220011546173","12020.157839498952","12020.157839498952","12020.157839498952","11159.478002092297","11159.478002092297","11159.478002092297","13178.447105883097","13178.447105883097","13178.447105883097"
"80","3561.1131067682713","3561.1131067682713","3561.1131067682713","12025.750227446324","12025.750227446324","12025.750227446324","11166.664610486043","11166.664610486043","11166.664610486043","13177.411806901113","13177.411806901113","13177.411806901113"
"81","3552.4794620330404","3552.4794620330404","3552.4794620330404","12025.718747149176","12025.718747149176","12025.718747149176","11172.475779262984","11172.475779262984","11172.475779262984","13178.719023443244","13178.719023443244","13178.719023443244"
"82","3542.4652646162017","3542.4652646162017","3542.4652646162017","12019.219460366463","12019.219460366463","12019.219460366463","11180.11653242636","11180.11653242636","11180.11653242636","13177.442459392267","13177.442459392267","13177.442459392267"
"83","3534.2818091064364","3534.2818091064364","3534.2818091064364","12011.483162375338","12011.483162375338","12011.483162375338","11187.586524312203","11187.586524312203","11187.586524312203","13182.107125744758","13182.107125744758","13182.107125744758"
"84","3533.9403710188967","3533.9403710188967","3533.9403710188967","12006.41927542955","12006.41927542955","12006.41927542955","11193.667110317361","11193.667110317361","11193.667110317361","13180.25138859126","13180.25138859126","13180.25138859126"
"85","3526.8753184880284","3526.8753184880284","3526.8753184880284","12008.32641784915","12008.32641784915","12008.32641784915","11200.320812267928","11200.320812267928","11200.320812267928","13179.947220821148","13179.947220821148","13179.947220821148"
"86","3523.999811202655","3523.999811202655","3523.999811202655","12006.95707758165","12006.95707758165","12006.95707758165","11204.009969270845","11204.009969270845","11204.009969270845","13181.360562579257","13181.360562579257","13181.360562579257"
"87","3517.327914378099","3517.327914378099","3517.327914378099","11999.924520094995","11999.924520094995","11999.924520094995","11211.572574631786","11211.572574631786","11211.572574631786","13181.3539937352","13181.3539937352","13181.3539937352"
"88","3516.3806112881193","3516.3806112881193","3516.3806112881193","11995.92794018653","11995.92794018653","11995.92794018653","11215.172390708633","11215.172390708633","11215.172390708633","13185.049008042777","13185.049008042777","13185.049008042777"
"89","3507.966843587734","3507.966843587734","3507.966843587734","11996.793796468904","11996.793796468904","11996.793796468904","11222.390099236341","11222.390099236341","11222.390099236341","13181.033634550147","13181.033634550147","13181.033634550147"
"90","3505.472933724955","3505.472933724955","3505.472933724955","11994.782128395482","11994.782128395482","11994.782128395482","11226.878061661935","11226.878061661935","11226.878061661935","13181.28611000597","13181.28611000597","13181.28611000597"
"91","3500.771034782526","3500.771034782526","3500.771034782526","11989.275030825125","11989.275030825125","11989.275030825125","11232.892813447237","11232.892813447237","11232.892813447237","13186.756109097027","13186.756109097027","13186.756109097027"
"92","3498.075058965378","3498.075058965378","3498.075058965378","11989.137845946421","11989.137845946421","11989.137845946421","11238.393555170727","11238.393555170727","11238.393555170727","13185.509241200465","13185.509241200465","13185.509241200465"
"93","3494.3962098653637","3494.3962098653637","3494.3962098653637","11990.563308075665","11990.563308075665","11990.563308075665","11242.103966393268","11242.103966393268","11242.103966393268","13188.9675320769","13188.9675320769","13188.9675320769"
"94","3488.4018426147204","3488.4018426147204","3488.4018426147204","11982.110342900654","11982.110342900654","11982.110342900654","11246.085048321644","11246.085048321644","11246.085048321644","13190.872247485882","13190.872247485882","13190.872247485882"
"95","3482.7876508693766","3482.7876508693766","3482.7876508693766","11981.379059443425","11981.379059443425","11981.379059443425","11251.12342341901","11251.12342341901","11251.12342341901","13190.170774354838","13190.170774354838","13190.170774354838"
"96","3473.2248745571533","3473.2248745571533","3473.2248745571533","11983.212948452256","11983.212948452256","11983.212948452256","11258.760208705644","11258.760208705644","11258.760208705644","13190.781285362791","13190.781285362791","13190.781285362791"
"97","3466.945112880475","3466.945112880475","3466.945112880475","11984.460446292107","11984.460446292107","11984.460446292107","11263.98168417802","11263.98168417802","11263.98168417802","13194.114686272644","13194.114686272644","13194.114686272644"
"98","3461.7291356050428","3461.7291356050428","3461.7291356050428","11981.636624273357","11981.636624273357","11981.636624273357","11268.436442854438","11268.436442854438","11268.436442854438","13197.676536078547","13197.676536078547","13197.676536078547"
"99","3459.1862861812547","3459.1862861812547","3459.1862861812547","11978.723126683852","11978.723126683852","11978.723126683852","11268.820343561669","11268.820343561669","11268.820343561669","13201.473694116745","13201.473694116745","13201.473694116745"
"100","3456.048666925586","3456.048666925586","3456.048666925586","11980.926582456093","11980.926582456093","11980.926582456093","11274.786142747027","11274.786142747027","11274.786142747027","13203.18425000611","13203.18425000611","13203.18425000611"
"101","3454.6836227840554","3454.6836227840554","3454.6836227840554","11978.726104231604","11978.726104231604","11978.726104231604","11280.385897994141","11280.385897994141","11280.385897994141","13210.667305047567","13210.667305047567","13210.667305047567"
"102","3452.947591916991","3452.947591916991","3452.947591916991","11976.310244762153","11976.310244762153","11976.310244762153","11284.437154944773","11284.437154944773","11284.437154944773","13208.783221213609","13208.783221213609","13208.783221213609"
"103","3453.916894368157","3453.916894368157","3453.916894368157","11974.38848086405","11974.38848086405","11974.38848086405","11289.670044063147","11289.670044063147","11289.670044063147","13207.888797356982","13207.888797356982","13207.888797356982"
"104","3450.551547974406","3450.551547974406","3450.551547974406","11980.539108920704","11980.539108920704","11980.539108920704","11292.666158002014","11292.666158002014","11292.666158002014","13209.388581174362","13209.388581174362","13209.388581174362"
"105","3443.0311134582885","3443.0311134582885","3443.0311134582885","11976.975716596215","11976.975716596215","11976.975716596215","11296.300219745453","11296.300219745453","11296.300219745453","13212.779742765006","13212.779742765006","13212.779742765006"
"106","3440.8568061134906","3440.8568061134906","3440.8568061134906","11977.12907919085","11977.12907919085","11977.12907919085","11302.2792737627","11302.2792737627","11302.2792737627","13215.719146465715","13215.719146465715","13215.719146465715"
"107","3437.9693435991003","3437.9693435991003","3437.9693435991003","11973.421347799465","11973.421347799465","11973.421347799465","11306.3955052456","11306.3955052456","11306.3955052456","13215.67227900949","13215.67227900949","13215.67227900949"
"108","3432.283209340972","3432.283209340972","3432.283209340972","11976.736023108446","11976.736023108446","11976.736023108446","11311.794659642612","11311.794659642612","11311.794659642612","13217.418768404097","13217.418768404097","13217.418768404097"
"109","3427.3796501249967","3427.3796501249967","3427.3796501249967","11977.601392325956","11977.601392325956","11977.601392325956","11315.166882161811","11315.166882161811","11315.166882161811","13214.543646471753","13214.543646471753","13214.543646471753"
"110","3425.262045555861","3425.262045555861","3425.262045555861","11977.864030950144","11977.864030950144","11977.864030950144","11318.485358976626","11318.485358976626","11318.485358976626","13214.763925881181","13214.763925881181","13214.763925881181"
"111","3419.7420716282386","3419.7420716282386","3419.7420716282386","11973.751967483186","11973.751967483186","11973.751967483186","11321.788159374253","11321.788159374253","11321.788159374253","13215.740421735585","13215.740421735585","13215.740421735585"
"112","3414.930725149514","3414.930725149514","3414.930725149514","11973.126928086022","11973.126928086022","11973.126928086022","11325.41783353689","11325.41783353689","11325.41783353689","13216.142245800469","13216.142245800469","13216.142245800469"
"113","3411.3705344678197","3411.3705344678197","3411.3705344678197","11974.257294382389","11974.257294382389","11974.257294382389","11329.022909235026","11329.022909235026","11329.022909235026","13216.681376922608","13216.681376922608","13216.681376922608"
"114","3409.8465139534355","3409.8465139534355","3409.8465139534355","11975.930500178281","11975.930500178281","11975.930500178281","11332.510131727164","11332.510131727164","11332.510131727164","13218.176896245552","13218.176896245552","13218.176896245552"
"115","3410.209556758664","3410.209556758664","3410.209556758664","11976.654531761307","11976.654531761307","11976.654531761307","11335.245372610054","11335.245372610054","11335.245372610054","13218.64299444793","13218.64299444793","13218.64299444793"
"116","3402.3609109472814","3402.3609109472814","3402.3609109472814","11969.62933367362","11969.62933367362","11969.62933367362","11337.201289493807","11337.201289493807","11337.201289493807","13222.70744273864","13222.70744273864","13222.70744273864"
"117","3405.302944235871","3405.302944235871","3405.302944235871","11969.128991565234","11969.128991565234","11969.128991565234","11341.219880554821","11341.219880554821","11341.219880554821","13225.138814552025","13225.138814552025","13225.138814552025"
"118","3403.7394519583886","3403.7394519583886","3403.7394519583886","11961.752349834327","11961.752349834327","11961.752349834327","11345.380518186388","11345.380518186388","11345.380518186388","13230.560753673675","13230.560753673675","13230.560753673675"
"119","3399.2125667513346","3399.2125667513346","3399.2125667513346","11958.84915123662","11958.84915123662","11958.84915123662","11348.394872626357","11348.394872626357","11348.394872626357","13229.900881327107","13229.900881327107","13229.900881327107"
"120","3396.052105058623","3396.052105058623","3396.052105058623","11956.121507844573","11956.121507844573","11956.121507844573","11353.284024242475","11353.284024242475","11353.284024242475","13228.49766916909","13228.49766916909","13228.49766916909"
"121","3391.7900609657518","3391.7900609657518","3391.7900609657518","11957.543387610123","11957.543387610123","11957.543387610123","11355.533534063095","11355.533534063095","11355.533534063095","13229.314385327707","13229.314385327707","13229.314385327707"
"122","3391.2824374075785","3391.2824374075785","3391.2824374075785","11952.102281477864","11952.102281477864","11952.102281477864","11358.584540968366","11358.584540968366","11358.584540968366","13231.799031636836","13231.799031636836","13231.799031636836"
"123","3392.142037174483","3392.142037174483","3392.142037174483","11950.373338177797","11950.373338177797","11950.373338177797","11361.69487404893","11361.69487404893","11361.69487404893","13230.638718590211","13230.638718590211","13230.638718590211"
"124","3391.122274206121","3391.122274206121","3391.122274206121","11945.252723860995","11945.252723860995","11945.252723860995","11367.048164511943","11367.048164511943","11367.048164511943","13233.474416041685","13233.474416041685","13233.474416041685"
"125","3389.5703961418794","3389.5703961418794","3389.5703961418794","11944.57660286339","11944.57660286339","11944.57660286339","11371.550087447575","11371.550087447575","11371.550087447575","13234.384573543264","13234.384573543264","13234.384573543264"
"126","3388.5904843072453","3388.5904843072453","3388.5904843072453","11947.407077705679","11947.407077705679","11947.407077705679","11376.387778247066","11376.387778247066","11376.387778247066","13233.250460601224","13233.250460601224","13233.250460601224"
"127","3386.6826878013853","3386.6826878013853","3386.6826878013853","11948.558285615523","11948.558285615523","11948.558285615523","11378.707578326685","11378.707578326685","11378.707578326685","13234.335914617905","13234.335914617905","13234.335914617905"
"128","3387.940924321849","3387.940924321849","3387.940924321849","11951.885320922001","11951.885320922001","11951.885320922001","11381.825151832914","11381.825151832914","11381.825151832914","13233.869019986305","13233.869019986305","13233.869019986305"
