"Step","prudent_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean","prudent_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean__MIN","prudent_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean__MAX","neutral_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean","neutral_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean__MIN","neutral_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean__MAX","resistant_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean","resistant_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean__MIN","resistant_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean__MAX","receptive_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean","receptive_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean__MIN","receptive_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean__MAX"
"13","-1275235.5695105721","-1275235.5695105721","-1275235.5695105721","-2005655.2338759967","-2005655.2338759967","-2005655.2338759967","-2876516.304840038","-2876516.304840038","-2876516.304840038","-1010211.88982554","-1010211.88982554","-1010211.88982554"
"14","-1269718.6493287343","-1269718.6493287343","-1269718.6493287343","-1987341.0271207083","-1987341.0271207083","-1987341.0271207083","-2867714.2454808713","-2867714.2454808713","-2867714.2454808713","-998860.8782843722","-998860.8782843722","-998860.8782843722"
"15","-1265136.6818201193","-1265136.6818201193","-1265136.6818201193","-1971796.6773465862","-1971796.6773465862","-1971796.6773465862","-2858980.71460154","-2858980.71460154","-2858980.71460154","-993026.4460800851","-993026.4460800851","-993026.4460800851"
"16","-1257250.188134863","-1257250.188134863","-1257250.188134863","-1954100.1147597632","-1954100.1147597632","-1954100.1147597632","-2850071.3331150473","-2850071.3331150473","-2850071.3331150473","-985367.9451587704","-985367.9451587704","-985367.9451587704"
"17","-1251242.326908252","-1251242.326908252","-1251242.326908252","-1941238.0006911445","-1941238.0006911445","-1941238.0006911445","-2844663.5590544883","-2844663.5590544883","-2844663.5590544883","-978113.0817090004","-978113.0817090004","-978113.0817090004"
"18","-1245885.6982179594","-1245885.6982179594","-1245885.6982179594","-1921267.3437666676","-1921267.3437666676","-1921267.3437666676","-2837874.015040443","-2837874.015040443","-2837874.015040443","-972289.8575926446","-972289.8575926446","-972289.8575926446"
"19","-1247862.1716218563","-1247862.1716218563","-1247862.1716218563","-1907998.1606399207","-1907998.1606399207","-1907998.1606399207","-2831287.989628343","-2831287.989628343","-2831287.989628343","-967563.1396387825","-967563.1396387825","-967563.1396387825"
"20","-1249868.674060632","-1249868.674060632","-1249868.674060632","-1897850.9979318175","-1897850.9979318175","-1897850.9979318175","-2828490.7255951115","-2828490.7255951115","-2828490.7255951115","-961000.867175027","-961000.867175027","-961000.867175027"
"21","-1253431.135231456","-1253431.135231456","-1253431.135231456","-1885426.5085361535","-1885426.5085361535","-1885426.5085361535","-2826126.464083116","-2826126.464083116","-2826126.464083116","-955002.0003251879","-955002.0003251879","-955002.0003251879"
"22","-1259357.9252038067","-1259357.9252038067","-1259357.9252038067","-1875696.8251718918","-1875696.8251718918","-1875696.8251718918","-2819968.783198303","-2819968.783198303","-2819968.783198303","-949781.993344893","-949781.993344893","-949781.993344893"
"23","-1262672.365133752","-1262672.365133752","-1262672.365133752","-1866502.7519514372","-1866502.7519514372","-1866502.7519514372","-2817460.816666625","-2817460.816666625","-2817460.816666625","-945737.8921786841","-945737.8921786841","-945737.8921786841"
"24","-1266638.8047904624","-1266638.8047904624","-1266638.8047904624","-1860244.9218955454","-1860244.9218955454","-1860244.9218955454","-2814260.2122132136","-2814260.2122132136","-2814260.2122132136","-940117.626045534","-940117.626045534","-940117.626045534"
"25","-1269936.4623390527","-1269936.4623390527","-1269936.4623390527","-1853330.1018560184","-1853330.1018560184","-1853330.1018560184","-2810818.8359190905","-2810818.8359190905","-2810818.8359190905","-935775.4573636161","-935775.4573636161","-935775.4573636161"
"26","-1271371.8353748065","-1271371.8353748065","-1271371.8353748065","-1845406.1677252818","-1845406.1677252818","-1845406.1677252818","-2807035.050036928","-2807035.050036928","-2807035.050036928","-933151.1683798393","-933151.1683798393","-933151.1683798393"
"27","-1269424.6425853223","-1269424.6425853223","-1269424.6425853223","-1841202.5394574553","-1841202.5394574553","-1841202.5394574553","-2806606.490801215","-2806606.490801215","-2806606.490801215","-930752.3719091637","-930752.3719091637","-930752.3719091637"
"28","-1265563.0358394852","-1265563.0358394852","-1265563.0358394852","-1835097.2825711293","-1835097.2825711293","-1835097.2825711293","-2803890.6634993907","-2803890.6634993907","-2803890.6634993907","-925701.0658850046","-925701.0658850046","-925701.0658850046"
"29","-1264234.6466582112","-1264234.6466582112","-1264234.6466582112","-1827791.5234406875","-1827791.5234406875","-1827791.5234406875","-2801483.666471646","-2801483.666471646","-2801483.666471646","-921424.8576127148","-921424.8576127148","-921424.8576127148"
"30","-1261710.7645125664","-1261710.7645125664","-1261710.7645125664","-1820798.0774230284","-1820798.0774230284","-1820798.0774230284","-2797225.922581891","-2797225.922581891","-2797225.922581891","-920080.7000931401","-920080.7000931401","-920080.7000931401"
"31","-1261101.7997890054","-1261101.7997890054","-1261101.7997890054","-1815325.2979085264","-1815325.2979085264","-1815325.2979085264","-2792246.737657788","-2792246.737657788","-2792246.737657788","-918584.3753765179","-918584.3753765179","-918584.3753765179"
"32","-1259567.52175814","-1259567.52175814","-1259567.52175814","-1809649.480622226","-1809649.480622226","-1809649.480622226","-2789225.1595407375","-2789225.1595407375","-2789225.1595407375","-915968.3346982615","-915968.3346982615","-915968.3346982615"
"33","-1257085.836181064","-1257085.836181064","-1257085.836181064","-1805587.420531059","-1805587.420531059","-1805587.420531059","-2787292.2498898543","-2787292.2498898543","-2787292.2498898543","-913860.5386920809","-913860.5386920809","-913860.5386920809"
"34","-1256576.010143768","-1256576.010143768","-1256576.010143768","-1802112.6214076527","-1802112.6214076527","-1802112.6214076527","-2784517.0422902773","-2784517.0422902773","-2784517.0422902773","-912913.3021172758","-912913.3021172758","-912913.3021172758"
"35","-1255481.1629937761","-1255481.1629937761","-1255481.1629937761","-1796657.0402552546","-1796657.0402552546","-1796657.0402552546","-2781515.948933389","-2781515.948933389","-2781515.948933389","-912473.5070684884","-912473.5070684884","-912473.5070684884"
"36","-1253288.3306466513","-1253288.3306466513","-1253288.3306466513","-1793021.355318575","-1793021.355318575","-1793021.355318575","-2780096.325572555","-2780096.325572555","-2780096.325572555","-911608.3485846457","-911608.3485846457","-911608.3485846457"
"37","-1250735.1580989067","-1250735.1580989067","-1250735.1580989067","-1789390.3265392862","-1789390.3265392862","-1789390.3265392862","-2777992.4992856863","-2777992.4992856863","-2777992.4992856863","-909693.6642579675","-909693.6642579675","-909693.6642579675"
"38","-1249605.3506619483","-1249605.3506619483","-1249605.3506619483","-1786066.1407342905","-1786066.1407342905","-1786066.1407342905","-2775355.7733714916","-2775355.7733714916","-2775355.7733714916","-906949.3120914163","-906949.3120914163","-906949.3120914163"
"39","-1249419.543349528","-1249419.543349528","-1249419.543349528","-1783010.9077625","-1783010.9077625","-1783010.9077625","-2773210.030933977","-2773210.030933977","-2773210.030933977","-906736.7547358926","-906736.7547358926","-906736.7547358926"
"40","-1249494.8803039677","-1249494.8803039677","-1249494.8803039677","-1781180.90452061","-1781180.90452061","-1781180.90452061","-2772478.336162498","-2772478.336162498","-2772478.336162498","-905635.4108066804","-905635.4108066804","-905635.4108066804"
"41","-1251139.0796805103","-1251139.0796805103","-1251139.0796805103","-1779214.3159433703","-1779214.3159433703","-1779214.3159433703","-2771972.766258887","-2771972.766258887","-2771972.766258887","-903580.1250565939","-903580.1250565939","-903580.1250565939"
"42","-1250827.4222855323","-1250827.4222855323","-1250827.4222855323","-1775777.2530253772","-1775777.2530253772","-1775777.2530253772","-2770409.740920115","-2770409.740920115","-2770409.740920115","-903028.8130802118","-903028.8130802118","-903028.8130802118"
"43","-1251477.0336086086","-1251477.0336086086","-1251477.0336086086","-1772646.004508811","-1772646.004508811","-1772646.004508811","-2768988.677221209","-2768988.677221209","-2768988.677221209","-902569.3060936362","-902569.3060936362","-902569.3060936362"
"44","-1251260.1896731833","-1251260.1896731833","-1251260.1896731833","-1769299.5708135506","-1769299.5708135506","-1769299.5708135506","-2768373.321892815","-2768373.321892815","-2768373.321892815","-899907.6467688197","-899907.6467688197","-899907.6467688197"
"45","-1250408.7987421788","-1250408.7987421788","-1250408.7987421788","-1766656.8754692448","-1766656.8754692448","-1766656.8754692448","-2768642.933790747","-2768642.933790747","-2768642.933790747","-898726.256197564","-898726.256197564","-898726.256197564"
"46","-1251794.7993152225","-1251794.7993152225","-1251794.7993152225","-1763236.197901887","-1763236.197901887","-1763236.197901887","-2769204.4712974164","-2769204.4712974164","-2769204.4712974164","-898183.8966546631","-898183.8966546631","-898183.8966546631"
"47","-1254532.0292995796","-1254532.0292995796","-1254532.0292995796","-1761007.9841884437","-1761007.9841884437","-1761007.9841884437","-2770721.375088731","-2770721.375088731","-2770721.375088731","-897023.0316041154","-897023.0316041154","-897023.0316041154"
"48","-1257771.7751884419","-1257771.7751884419","-1257771.7751884419","-1758632.1239083353","-1758632.1239083353","-1758632.1239083353","-2772784.2961119195","-2772784.2961119195","-2772784.2961119195","-895976.6892808368","-895976.6892808368","-895976.6892808368"
"49","-1262018.840451235","-1262018.840451235","-1262018.840451235","-1756659.3698062734","-1756659.3698062734","-1756659.3698062734","-2775411.7458890337","-2775411.7458890337","-2775411.7458890337","-895925.5586845162","-895925.5586845162","-895925.5586845162"
"50","-1265372.0182721154","-1265372.0182721154","-1265372.0182721154","-1754239.3676225452","-1754239.3676225452","-1754239.3676225452","-2778638.597936731","-2778638.597936731","-2778638.597936731","-894863.1605548408","-894863.1605548408","-894863.1605548408"
"51","-1269668.808060958","-1269668.808060958","-1269668.808060958","-1751461.6393992563","-1751461.6393992563","-1751461.6393992563","-2781746.1536833164","-2781746.1536833164","-2781746.1536833164","-893881.8534811861","-893881.8534811861","-893881.8534811861"
"52","-1273871.2151595724","-1273871.2151595724","-1273871.2151595724","-1750579.8949686005","-1750579.8949686005","-1750579.8949686005","-2785086.186167552","-2785086.186167552","-2785086.186167552","-892584.2996462353","-892584.2996462353","-892584.2996462353"
"53","-1277369.4972437848","-1277369.4972437848","-1277369.4972437848","-1748937.3834075117","-1748937.3834075117","-1748937.3834075117","-2788569.577830682","-2788569.577830682","-2788569.577830682","-891743.7149994635","-891743.7149994635","-891743.7149994635"
"54","-1282029.4527534095","-1282029.4527534095","-1282029.4527534095","-1747765.1268358142","-1747765.1268358142","-1747765.1268358142","-2792295.366136981","-2792295.366136981","-2792295.366136981","-889575.0054496576","-889575.0054496576","-889575.0054496576"
"55","-1286609.2957956109","-1286609.2957956109","-1286609.2957956109","-1745746.3208516894","-1745746.3208516894","-1745746.3208516894","-2794343.486814414","-2794343.486814414","-2794343.486814414","-889292.1993922949","-889292.1993922949","-889292.1993922949"
"56","-1290259.0497605256","-1290259.0497605256","-1290259.0497605256","-1743834.763112977","-1743834.763112977","-1743834.763112977","-2798328.7383197066","-2798328.7383197066","-2798328.7383197066","-887760.1392475507","-887760.1392475507","-887760.1392475507"
"57","-1293667.6894556638","-1293667.6894556638","-1293667.6894556638","-1741904.3898057092","-1741904.3898057092","-1741904.3898057092","-2801716.7953377445","-2801716.7953377445","-2801716.7953377445","-887308.3728918941","-887308.3728918941","-887308.3728918941"
"58","-1295444.9911466","-1295444.9911466","-1295444.9911466","-1739197.1209185773","-1739197.1209185773","-1739197.1209185773","-2804165.782834108","-2804165.782834108","-2804165.782834108","-885282.3499257354","-885282.3499257354","-885282.3499257354"
"59","-1299430.758710453","-1299430.758710453","-1299430.758710453","-1737431.299437379","-1737431.299437379","-1737431.299437379","-2807173.884838202","-2807173.884838202","-2807173.884838202","-885024.9478495566","-885024.9478495566","-885024.9478495566"
"60","-1302454.8763625573","-1302454.8763625573","-1302454.8763625573","-1736698.7377102184","-1736698.7377102184","-1736698.7377102184","-2810972.904006726","-2810972.904006726","-2810972.904006726","-885343.6330005124","-885343.6330005124","-885343.6330005124"
"61","-1305753.2097430346","-1305753.2097430346","-1305753.2097430346","-1734552.031235921","-1734552.031235921","-1734552.031235921","-2813186.6972155687","-2813186.6972155687","-2813186.6972155687","-884264.6216802364","-884264.6216802364","-884264.6216802364"
"62","-1306822.1735963246","-1306822.1735963246","-1306822.1735963246","-1732291.0843630459","-1732291.0843630459","-1732291.0843630459","-2816981.281888381","-2816981.281888381","-2816981.281888381","-883197.6503232184","-883197.6503232184","-883197.6503232184"
"63","-1309947.506702469","-1309947.506702469","-1309947.506702469","-1731221.8736311502","-1731221.8736311502","-1731221.8736311502","-2820200.4314063983","-2820200.4314063983","-2820200.4314063983","-882934.4949633753","-882934.4949633753","-882934.4949633753"
"64","-1312114.9413545877","-1312114.9413545877","-1312114.9413545877","-1730321.3690713467","-1730321.3690713467","-1730321.3690713467","-2822773.287456685","-2822773.287456685","-2822773.287456685","-881647.3612643214","-881647.3612643214","-881647.3612643214"
"65","-1313169.0792478134","-1313169.0792478134","-1313169.0792478134","-1729116.0144110613","-1729116.0144110613","-1729116.0144110613","-2825759.612268644","-2825759.612268644","-2825759.612268644","-880485.1332670429","-880485.1332670429","-880485.1332670429"
"66","-1312505.098866333","-1312505.098866333","-1312505.098866333","-1727166.6538776543","-1727166.6538776543","-1727166.6538776543","-2829496.1748657734","-2829496.1748657734","-2829496.1748657734","-878781.5937529915","-878781.5937529915","-878781.5937529915"
"67","-1311066.0157564196","-1311066.0157564196","-1311066.0157564196","-1725832.715734775","-1725832.715734775","-1725832.715734775","-2832768.1506256796","-2832768.1506256796","-2832768.1506256796","-876576.5810188828","-876576.5810188828","-876576.5810188828"
"68","-1309281.4763449656","-1309281.4763449656","-1309281.4763449656","-1724458.962698694","-1724458.962698694","-1724458.962698694","-2835188.038301674","-2835188.038301674","-2835188.038301674","-876455.066915727","-876455.066915727","-876455.066915727"
"69","-1307292.6833924055","-1307292.6833924055","-1307292.6833924055","-1723423.0021055304","-1723423.0021055304","-1723423.0021055304","-2836720.9513758114","-2836720.9513758114","-2836720.9513758114","-875564.0685147865","-875564.0685147865","-875564.0685147865"
"70","-1306128.2909925187","-1306128.2909925187","-1306128.2909925187","-1722015.688836527","-1722015.688836527","-1722015.688836527","-2838988.4009306426","-2838988.4009306426","-2838988.4009306426","-875129.3223392474","-875129.3223392474","-875129.3223392474"
"71","-1304161.7179927037","-1304161.7179927037","-1304161.7179927037","-1721223.3332398005","-1721223.3332398005","-1721223.3332398005","-2842641.9510936737","-2842641.9510936737","-2842641.9510936737","-873675.2638356134","-873675.2638356134","-873675.2638356134"
"72","-1301934.019417506","-1301934.019417506","-1301934.019417506","-1720559.2658973983","-1720559.2658973983","-1720559.2658973983","-2845365.0885698637","-2845365.0885698637","-2845365.0885698637","-872329.3788052767","-872329.3788052767","-872329.3788052767"
"73","-1301179.0967410293","-1301179.0967410293","-1301179.0967410293","-1719769.9707504653","-1719769.9707504653","-1719769.9707504653","-2847990.1443339097","-2847990.1443339097","-2847990.1443339097","-872089.4441136328","-872089.4441136328","-872089.4441136328"
"74","-1299488.6982924703","-1299488.6982924703","-1299488.6982924703","-1719309.2222749798","-1719309.2222749798","-1719309.2222749798","-2850821.857893361","-2850821.857893361","-2850821.857893361","-871261.6058714297","-871261.6058714297","-871261.6058714297"
"75","-1297898.7140060298","-1297898.7140060298","-1297898.7140060298","-1718782.6374554588","-1718782.6374554588","-1718782.6374554588","-2854478.6321327128","-2854478.6321327128","-2854478.6321327128","-870868.4111547329","-870868.4111547329","-870868.4111547329"
"76","-1297143.724250497","-1297143.724250497","-1297143.724250497","-1717797.5574792265","-1717797.5574792265","-1717797.5574792265","-2856000.519885794","-2856000.519885794","-2856000.519885794","-870279.1651154051","-870279.1651154051","-870279.1651154051"
"77","-1297040.4940491102","-1297040.4940491102","-1297040.4940491102","-1717120.955173176","-1717120.955173176","-1717120.955173176","-2858268.8766512484","-2858268.8766512484","-2858268.8766512484","-870110.990905208","-870110.990905208","-870110.990905208"
"78","-1295915.021487836","-1295915.021487836","-1295915.021487836","-1715864.2878383654","-1715864.2878383654","-1715864.2878383654","-2859901.5281938836","-2859901.5281938836","-2859901.5281938836","-870845.2135222467","-870845.2135222467","-870845.2135222467"
"79","-1294159.0054519053","-1294159.0054519053","-1294159.0054519053","-1715109.9380954094","-1715109.9380954094","-1715109.9380954094","-2862021.424923653","-2862021.424923653","-2862021.424923653","-870150.9471058833","-870150.9471058833","-870150.9471058833"
"80","-1293564.3654398704","-1293564.3654398704","-1293564.3654398704","-1714581.041993621","-1714581.041993621","-1714581.041993621","-2863088.775551917","-2863088.775551917","-2863088.775551917","-869577.4118069013","-869577.4118069013","-869577.4118069013"
"81","-1292423.1427084506","-1292423.1427084506","-1292423.1427084506","-1714540.3072722845","-1714540.3072722845","-1714540.3072722845","-2865466.9984004474","-2865466.9984004474","-2865466.9984004474","-868771.4019502726","-868771.4019502726","-868771.4019502726"
"82","-1290720.7196461882","-1290720.7196461882","-1290720.7196461882","-1713623.4464121652","-1713623.4464121652","-1713623.4464121652","-2866589.2959765755","-2866589.2959765755","-2866589.2959765755","-868712.3822184285","-868712.3822184285","-868712.3822184285"
"83","-1290122.5940405582","-1290122.5940405582","-1290122.5940405582","-1712949.1173535504","-1712949.1173535504","-1712949.1173535504","-2868305.415843282","-2868305.415843282","-2868305.415843282","-868210.6785543164","-868210.6785543164","-868210.6785543164"
"84","-1289486.2089873247","-1289486.2089873247","-1289486.2089873247","-1712043.8662447506","-1712043.8662447506","-1712043.8662447506","-2870288.146593188","-2870288.146593188","-2870288.146593188","-868335.5455062384","-868335.5455062384","-868335.5455062384"
"85","-1288492.93690354","-1288492.93690354","-1288492.93690354","-1711718.9602795122","-1711718.9602795122","-1711718.9602795122","-2871444.69950729","-2871444.69950729","-2871444.69950729","-868103.2030347746","-868103.2030347746","-868103.2030347746"
"86","-1287302.2914808267","-1287302.2914808267","-1287302.2914808267","-1711815.1471834371","-1711815.1471834371","-1711815.1471834371","-2873293.2690629903","-2873293.2690629903","-2873293.2690629903","-867188.2571143033","-867188.2571143033","-867188.2571143033"
"87","-1286002.3304726577","-1286002.3304726577","-1286002.3304726577","-1711124.4492331117","-1711124.4492331117","-1711124.4492331117","-2874104.651262128","-2874104.651262128","-2874104.651262128","-867690.4449028261","-867690.4449028261","-867690.4449028261"
"88","-1284958.7315927339","-1284958.7315927339","-1284958.7315927339","-1709750.9908982583","-1709750.9908982583","-1709750.9908982583","-2875835.361127768","-2875835.361127768","-2875835.361127768","-867733.3636147843","-867733.3636147843","-867733.3636147843"
"89","-1284345.856544383","-1284345.856544383","-1284345.856544383","-1709146.3064110035","-1709146.3064110035","-1709146.3064110035","-2877133.156319593","-2877133.156319593","-2877133.156319593","-867781.0336345502","-867781.0336345502","-867781.0336345502"
"90","-1283293.4261063084","-1283293.4261063084","-1283293.4261063084","-1708297.3718874287","-1708297.3718874287","-1708297.3718874287","-2878812.756200889","-2878812.756200889","-2878812.756200889","-867647.2201759401","-867647.2201759401","-867647.2201759401"
"91","-1281906.19155407","-1281906.19155407","-1281906.19155407","-1708196.0146383105","-1708196.0146383105","-1708196.0146383105","-2880697.288583121","-2880697.288583121","-2880697.288583121","-866549.7995873579","-866549.7995873579","-866549.7995873579"
"92","-1281071.6858765243","-1281071.6858765243","-1281071.6858765243","-1707755.220417228","-1707755.220417228","-1707755.220417228","-2882046.6378713837","-2882046.6378713837","-2882046.6378713837","-866108.0898863618","-866108.0898863618","-866108.0898863618"
"93","-1279803.0289644587","-1279803.0289644587","-1279803.0289644587","-1707513.1842659072","-1707513.1842659072","-1707513.1842659072","-2883972.1610628944","-2883972.1610628944","-2883972.1610628944","-865744.2866810132","-865744.2866810132","-865744.2866810132"
"94","-1278899.6378963937","-1278899.6378963937","-1278899.6378963937","-1707274.7094858706","-1707274.7094858706","-1707274.7094858706","-2886428.9550017514","-2886428.9550017514","-2886428.9550017514","-864698.2406685387","-864698.2406685387","-864698.2406685387"
"95","-1277889.147216139","-1277889.147216139","-1277889.147216139","-1706422.5309948754","-1706422.5309948754","-1706422.5309948754","-2888310.4654020127","-2888310.4654020127","-2888310.4654020127","-863940.1707743551","-863940.1707743551","-863940.1707743551"
"96","-1277676.581235115","-1277676.581235115","-1277676.581235115","-1705773.1736341063","-1705773.1736341063","-1705773.1736341063","-2889938.2066382268","-2889938.2066382268","-2889938.2066382268","-863434.0802544352","-863434.0802544352","-863434.0802544352"
"97","-1276797.7348802665","-1276797.7348802665","-1276797.7348802665","-1705097.1121197257","-1705097.1121197257","-1705097.1121197257","-2891555.94492706","-2891555.94492706","-2891555.94492706","-863173.7065230076","-863173.7065230076","-863173.7065230076"
"98","-1275931.8816030829","-1275931.8816030829","-1275931.8816030829","-1704342.9585928156","-1704342.9585928156","-1704342.9585928156","-2892979.864829477","-2892979.864829477","-2892979.864829477","-863112.8280512304","-863112.8280512304","-863112.8280512304"
"99","-1274849.0915963734","-1274849.0915963734","-1274849.0915963734","-1703499.5705529524","-1703499.5705529524","-1703499.5705529524","-2893786.666184713","-2893786.666184713","-2893786.666184713","-862075.473694117","-862075.473694117","-862075.473694117"
"100","-1274728.4090785016","-1274728.4090785016","-1274728.4090785016","-1703653.1707895747","-1703653.1707895747","-1703653.1707895747","-2894780.640808959","-2894780.640808959","-2894780.640808959","-862036.8476163431","-862036.8476163431","-862036.8476163431"
"101","-1274000.6017313646","-1274000.6017313646","-1274000.6017313646","-1703459.2754624106","-1703459.2754624106","-1703459.2754624106","-2896053.0597173315","-2896053.0597173315","-2896053.0597173315","-861663.6084815185","-861663.6084815185","-861663.6084815185"
"102","-1274084.1394706373","-1274084.1394706373","-1274084.1394706373","-1702993.7268279493","-1702993.7268279493","-1702993.7268279493","-2897609.5493882066","-2897609.5493882066","-2897609.5493882066","-861288.3948716994","-861288.3948716994","-861288.3948716994"
"103","-1273368.8232123556","-1273368.8232123556","-1273368.8232123556","-1702765.3601782492","-1702765.3601782492","-1702765.3601782492","-2898709.7228655857","-2898709.7228655857","-2898709.7228655857","-861336.7349512036","-861336.7349512036","-861336.7349512036"
"104","-1272587.8558524936","-1272587.8558524936","-1272587.8558524936","-1701958.9503215405","-1701958.9503215405","-1701958.9503215405","-2898879.193502907","-2898879.193502907","-2898879.193502907","-860957.9600097461","-860957.9600097461","-860957.9600097461"
"105","-1271079.7440442718","-1271079.7440442718","-1271079.7440442718","-1701662.0063213273","-1701662.0063213273","-1701662.0063213273","-2899989.9726896104","-2899989.9726896104","-2899989.9726896104","-861397.6854031427","-861397.6854031427","-861397.6854031427"
"106","-1270660.6975223578","-1270660.6975223578","-1270660.6975223578","-1701097.41337697","-1701097.41337697","-1701097.41337697","-2900901.6553998636","-2900901.6553998636","-2900901.6553998636","-861088.6163427278","-861088.6163427278","-861088.6163427278"
"107","-1270538.6345898728","-1270538.6345898728","-1270538.6345898728","-1700541.3796927037","-1700541.3796927037","-1700541.3796927037","-2902229.4328996832","-2902229.4328996832","-2902229.4328996832","-860704.5611678988","-860704.5611678988","-860704.5611678988"
"108","-1269296.0365787651","-1269296.0365787651","-1269296.0365787651","-1700240.3016792773","-1700240.3016792773","-1700240.3016792773","-2903243.3184124734","-2903243.3184124734","-2903243.3184124734","-860780.7215206982","-860780.7215206982","-860780.7215206982"
