"Step","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX","neutral_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","neutral_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","neutral_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX","resistant_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","resistant_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","resistant_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX","receptive_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","receptive_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","receptive_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX"
"23","-755554.1419511874","-755554.1419511874","-755554.1419511874","-1291790.151984975","-1291790.151984975","-1291790.151984975","-1703146.0433497385","-1703146.0433497385","-1703146.0433497385","-653540.5538257082","-653540.5538257082","-653540.5538257082"
"24","-754752.4604917162","-754752.4604917162","-754752.4604917162","-1293632.343877112","-1293632.343877112","-1293632.343877112","-1700433.0798656421","-1700433.0798656421","-1700433.0798656421","-648691.6422190825","-648691.6422190825","-648691.6422190825"
"25","-754040.6328938308","-754040.6328938308","-754040.6328938308","-1296158.237409557","-1296158.237409557","-1296158.237409557","-1696561.1488580292","-1696561.1488580292","-1696561.1488580292","-646146.8837716252","-646146.8837716252","-646146.8837716252"
"26","-753977.1405724239","-753977.1405724239","-753977.1405724239","-1299583.0198000844","-1299583.0198000844","-1299583.0198000844","-1693478.686497685","-1693478.686497685","-1693478.686497685","-643569.3883436333","-643569.3883436333","-643569.3883436333"
"27","-753079.1204479273","-753079.1204479273","-753079.1204479273","-1301743.935655862","-1301743.935655862","-1301743.935655862","-1692187.2787251507","-1692187.2787251507","-1692187.2787251507","-642095.9931664277","-642095.9931664277","-642095.9931664277"
"28","-752194.2576709626","-752194.2576709626","-752194.2576709626","-1305396.9399509577","-1305396.9399509577","-1305396.9399509577","-1690067.0027892352","-1690067.0027892352","-1690067.0027892352","-639241.7445058167","-639241.7445058167","-639241.7445058167"
"29","-752935.9366088143","-752935.9366088143","-752935.9366088143","-1306609.2064652962","-1306609.2064652962","-1306609.2064652962","-1687471.4568732332","-1687471.4568732332","-1687471.4568732332","-636915.47871232","-636915.47871232","-636915.47871232"
"30","-753127.5096319278","-753127.5096319278","-753127.5096319278","-1307287.2593965016","-1307287.2593965016","-1307287.2593965016","-1684175.4475255867","-1684175.4475255867","-1684175.4475255867","-635831.2489845828","-635831.2489845828","-635831.2489845828"
"31","-753434.8623256332","-753434.8623256332","-753434.8623256332","-1308989.4254835846","-1308989.4254835846","-1308989.4254835846","-1679941.3378097517","-1679941.3378097517","-1679941.3378097517","-634501.188481813","-634501.188481813","-634501.188481813"
"32","-753252.3307596147","-753252.3307596147","-753252.3307596147","-1309203.1022747066","-1309203.1022747066","-1309203.1022747066","-1676832.1821784934","-1676832.1821784934","-1676832.1821784934","-632548.1463278248","-632548.1463278248","-632548.1463278248"
"33","-753105.4038930747","-753105.4038930747","-753105.4038930747","-1309453.9203792375","-1309453.9203792375","-1309453.9203792375","-1674615.9936623122","-1674615.9936623122","-1674615.9936623122","-630918.1914529145","-630918.1914529145","-630918.1914529145"
"34","-754185.9407989288","-754185.9407989288","-754185.9407989288","-1309793.5305675652","-1309793.5305675652","-1309793.5305675652","-1672091.8645151546","-1672091.8645151546","-1672091.8645151546","-630551.5503696584","-630551.5503696584","-630551.5503696584"
"35","-753801.0198328783","-753801.0198328783","-753801.0198328783","-1310006.9755314242","-1310006.9755314242","-1310006.9755314242","-1669922.9312757165","-1669922.9312757165","-1669922.9312757165","-629841.3697280451","-629841.3697280451","-629841.3697280451"
"36","-753730.6250378684","-753730.6250378684","-753730.6250378684","-1310948.3565689358","-1310948.3565689358","-1310948.3565689358","-1667858.181698857","-1667858.181698857","-1667858.181698857","-629352.0314963531","-629352.0314963531","-629352.0314963531"
"37","-752799.8849187589","-752799.8849187589","-752799.8849187589","-1313210.441775079","-1313210.441775079","-1313210.441775079","-1665613.7971523155","-1665613.7971523155","-1665613.7971523155","-627804.963600602","-627804.963600602","-627804.963600602"
"38","-752731.8869336759","-752731.8869336759","-752731.8869336759","-1313934.2170028626","-1313934.2170028626","-1313934.2170028626","-1663678.915647509","-1663678.915647509","-1663678.915647509","-625491.6885227882","-625491.6885227882","-625491.6885227882"
"39","-753577.9388917838","-753577.9388917838","-753577.9388917838","-1316656.9723566582","-1316656.9723566582","-1316656.9723566582","-1661065.1776080746","-1661065.1776080746","-1661065.1776080746","-624740.7980256611","-624740.7980256611","-624740.7980256611"
"40","-754321.912530055","-754321.912530055","-754321.912530055","-1318889.5332476723","-1318889.5332476723","-1318889.5332476723","-1660049.6220839692","-1660049.6220839692","-1660049.6220839692","-623454.5629270136","-623454.5629270136","-623454.5629270136"
"41","-755644.4774010152","-755644.4774010152","-755644.4774010152","-1320044.5018490315","-1320044.5018490315","-1320044.5018490315","-1659240.128806855","-1659240.128806855","-1659240.128806855","-621879.788632176","-621879.788632176","-621879.788632176"
"42","-756825.7842685129","-756825.7842685129","-756825.7842685129","-1316735.25561366","-1316735.25561366","-1316735.25561366","-1656792.3602732206","-1656792.3602732206","-1656792.3602732206","-621430.8479775568","-621430.8479775568","-621430.8479775568"
"43","-757705.9117086533","-757705.9117086533","-757705.9117086533","-1313303.027024399","-1313303.027024399","-1313303.027024399","-1654472.1154823469","-1654472.1154823469","-1654472.1154823469","-620665.8552649646","-620665.8552649646","-620665.8552649646"
"44","-757770.0515936727","-757770.0515936727","-757770.0515936727","-1308985.6066423794","-1308985.6066423794","-1308985.6066423794","-1652462.3257303936","-1652462.3257303936","-1652462.3257303936","-618468.812265808","-618468.812265808","-618468.812265808"
"45","-758433.4240994676","-758433.4240994676","-758433.4240994676","-1304608.4242325753","-1304608.4242325753","-1304608.4242325753","-1650092.192649529","-1650092.192649529","-1650092.192649529","-617832.0442271822","-617832.0442271822","-617832.0442271822"
"46","-759214.0196672516","-759214.0196672516","-759214.0196672516","-1300270.4275792153","-1300270.4275792153","-1300270.4275792153","-1648189.0554712748","-1648189.0554712748","-1648189.0554712748","-617083.803304198","-617083.803304198","-617083.803304198"
"47","-758979.2334576462","-758979.2334576462","-758979.2334576462","-1295853.0459115629","-1295853.0459115629","-1295853.0459115629","-1647201.9721441725","-1647201.9721441725","-1647201.9721441725","-615996.0662348403","-615996.0662348403","-615996.0662348403"
"48","-758409.1304709299","-758409.1304709299","-758409.1304709299","-1291636.5145631535","-1291636.5145631535","-1291636.5145631535","-1645709.6156401844","-1645709.6156401844","-1645709.6156401844","-615331.6008708803","-615331.6008708803","-615331.6008708803"
"49","-758815.5035583408","-758815.5035583408","-758815.5035583408","-1288186.8705387942","-1288186.8705387942","-1288186.8705387942","-1644845.14358985","-1644845.14358985","-1644845.14358985","-615416.7988387506","-615416.7988387506","-615416.7988387506"
"50","-758454.0059610581","-758454.0059610581","-758454.0059610581","-1283836.1759609748","-1283836.1759609748","-1283836.1759609748","-1644205.692804056","-1644205.692804056","-1644205.692804056","-614440.2620023993","-614440.2620023993","-614440.2620023993"
