"Step","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX","neutral_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","neutral_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","neutral_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX","resistant_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","resistant_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","resistant_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX","receptive_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","receptive_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","receptive_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX"
"84","-760262.1280608096","-760262.1280608096","-760262.1280608096","-1199753.913029986","-1199753.913029986","-1199753.913029986","-1624005.0752411843","-1624005.0752411843","-1624005.0752411843","-595295.8842723609","-595295.8842723609","-595295.8842723609"
"85","-760120.6948504013","-760120.6948504013","-760120.6948504013","-1198909.4018202333","-1198909.4018202333","-1198909.4018202333","-1623433.8218581371","-1623433.8218581371","-1623433.8218581371","-595254.744178832","-595254.744178832","-595254.744178832"
"86","-759774.552176643","-759774.552176643","-759774.552176643","-1197731.4423649905","-1197731.4423649905","-1197731.4423649905","-1623431.6139684326","-1623431.6139684326","-1623431.6139684326","-594899.7897570832","-594899.7897570832","-594899.7897570832"
"87","-759565.9113145373","-759565.9113145373","-759565.9113145373","-1196410.2038646587","-1196410.2038646587","-1196410.2038646587","-1623059.5651702804","-1623059.5651702804","-1623059.5651702804","-595123.9238128838","-595123.9238128838","-595123.9238128838"
"88","-759721.2607858682","-759721.2607858682","-759721.2607858682","-1195092.317761604","-1195092.317761604","-1195092.317761604","-1622439.4430652407","-1622439.4430652407","-1622439.4430652407","-595121.2852763344","-595121.2852763344","-595121.2852763344"
"89","-760218.299037251","-760218.299037251","-760218.299037251","-1193976.3840512983","-1193976.3840512983","-1193976.3840512983","-1621874.316805282","-1621874.316805282","-1621874.316805282","-595244.8817759699","-595244.8817759699","-595244.8817759699"
"90","-760401.5555622501","-760401.5555622501","-760401.5555622501","-1192295.224230689","-1192295.224230689","-1192295.224230689","-1621409.871963377","-1621409.871963377","-1621409.871963377","-595019.4290632637","-595019.4290632637","-595019.4290632637"
"91","-760032.0035796585","-760032.0035796585","-760032.0035796585","-1191803.062324395","-1191803.062324395","-1191803.062324395","-1621117.1093743774","-1621117.1093743774","-1621117.1093743774","-594630.719899063","-594630.719899063","-594630.719899063"
"92","-760018.1040710972","-760018.1040710972","-760018.1040710972","-1190638.2701153078","-1190638.2701153078","-1190638.2701153078","-1620740.7190005395","-1620740.7190005395","-1620740.7190005395","-594207.693333955","-594207.693333955","-594207.693333955"
"93","-759997.8395485203","-759997.8395485203","-759997.8395485203","-1189759.9527935656","-1189759.9527935656","-1189759.9527935656","-1620696.960425681","-1620696.960425681","-1620696.960425681","-594100.5153748444","-594100.5153748444","-594100.5153748444"
"94","-760306.1386221272","-760306.1386221272","-760306.1386221272","-1188581.992628109","-1188581.992628109","-1188581.992628109","-1620856.9359178974","-1620856.9359178974","-1620856.9359178974","-593264.8775659971","-593264.8775659971","-593264.8775659971"
"95","-760251.6905481761","-760251.6905481761","-760251.6905481761","-1187437.8223562974","-1187437.8223562974","-1187437.8223562974","-1620769.4793410543","-1620769.4793410543","-1620769.4793410543","-592785.5947174717","-592785.5947174717","-592785.5947174717"
"96","-760612.1220370925","-760612.1220370925","-760612.1220370925","-1185886.960285059","-1185886.960285059","-1185886.960285059","-1620569.0849368195","-1620569.0849368195","-1620569.0849368195","-592152.7840595812","-592152.7840595812","-592152.7840595812"
"97","-760731.4965480741","-760731.4965480741","-760731.4965480741","-1184700.6681589403","-1184700.6681589403","-1184700.6681589403","-1620590.9045682377","-1620590.9045682377","-1620590.9045682377","-592023.3613690641","-592023.3613690641","-592023.3613690641"
"98","-760909.063389007","-760909.063389007","-760909.063389007","-1183483.4116304503","-1183483.4116304503","-1183483.4116304503","-1620427.9373052812","-1620427.9373052812","-1620427.9373052812","-592287.6851878137","-592287.6851878137","-592287.6851878137"
"99","-760712.5584857579","-760712.5584857579","-760712.5584857579","-1181962.1753282526","-1181962.1753282526","-1181962.1753282526","-1619681.6178861225","-1619681.6178861225","-1619681.6178861225","-591603.615876582","-591603.615876582","-591603.615876582"
"100","-760709.3396640485","-760709.3396640485","-760709.3396640485","-1181035.841069794","-1181035.841069794","-1181035.841069794","-1619087.9248668368","-1619087.9248668368","-1619087.9248668368","-591735.7135337085","-591735.7135337085","-591735.7135337085"
"101","-760816.1478802842","-760816.1478802842","-760816.1478802842","-1179974.7977549871","-1179974.7977549871","-1179974.7977549871","-1618745.0147427388","-1618745.0147427388","-1618745.0147427388","-591533.9760975807","-591533.9760975807","-591533.9760975807"
"102","-761213.4837142122","-761213.4837142122","-761213.4837142122","-1178933.9503056055","-1178933.9503056055","-1178933.9503056055","-1618593.0900040937","-1618593.0900040937","-1618593.0900040937","-591315.4220311908","-591315.4220311908","-591315.4220311908"
"103","-761253.0919385346","-761253.0919385346","-761253.0919385346","-1178137.8207216763","-1178137.8207216763","-1178137.8207216763","-1618135.9625770217","-1618135.9625770217","-1618135.9625770217","-591379.1295292686","-591379.1295292686","-591379.1295292686"
"104","-761401.420521661","-761401.420521661","-761401.420521661","-1176480.310906047","-1176480.310906047","-1176480.310906047","-1617303.3219503877","-1617303.3219503877","-1617303.3219503877","-591197.164828431","-591197.164828431","-591197.164828431"
"105","-761039.8648710827","-761039.8648710827","-761039.8648710827","-1175655.097641531","-1175655.097641531","-1175655.097641531","-1616886.6907280777","-1616886.6907280777","-1616886.6907280777","-591352.2515048387","-591352.2515048387","-591352.2515048387"
"106","-761296.6141708534","-761296.6141708534","-761296.6141708534","-1174908.7809346046","-1174908.7809346046","-1174908.7809346046","-1616454.6006342687","-1616454.6006342687","-1616454.6006342687","-591236.7996378801","-591236.7996378801","-591236.7996378801"
"107","-761937.8291878386","-761937.8291878386","-761937.8291878386","-1173856.131111885","-1173856.131111885","-1173856.131111885","-1616498.619459377","-1616498.619459377","-1616498.619459377","-590742.8165615067","-590742.8165615067","-590742.8165615067"
"108","-761995.4997713403","-761995.4997713403","-761995.4997713403","-1172980.0592354483","-1172980.0592354483","-1172980.0592354483","-1616313.9934313595","-1616313.9934313595","-1616313.9934313595","-590966.3847369963","-590966.3847369963","-590966.3847369963"
"109","-761957.8241859947","-761957.8241859947","-761957.8241859947","-1171754.3712384945","-1171754.3712384945","-1171754.3712384945","-1615768.4781758974","-1615768.4781758974","-1615768.4781758974","-590548.1218754015","-590548.1218754015","-590548.1218754015"
"110","-762164.9273855273","-762164.9273855273","-762164.9273855273","-1170576.6981808874","-1170576.6981808874","-1170576.6981808874","-1615354.2377667644","-1615354.2377667644","-1615354.2377667644","-590416.4863827195","-590416.4863827195","-590416.4863827195"
"111","-762553.5280475321","-762553.5280475321","-762553.5280475321","-1170004.9415157149","-1170004.9415157149","-1170004.9415157149","-1614799.9816684711","-1614799.9816684711","-1614799.9816684711","-590617.158273169","-590617.158273169","-590617.158273169"
"112","-762463.3379999759","-762463.3379999759","-762463.3379999759","-1169383.659008437","-1169383.659008437","-1169383.659008437","-1614800.448304922","-1614800.448304922","-1614800.448304922","-590415.3128024302","-590415.3128024302","-590415.3128024302"
"113","-762365.6113901336","-762365.6113901336","-762365.6113901336","-1168659.0982660283","-1168659.0982660283","-1168659.0982660283","-1614606.8134646695","-1614606.8134646695","-1614606.8134646695","-589992.078420901","-589992.078420901","-589992.078420901"
"114","-762205.344458392","-762205.344458392","-762205.344458392","-1167858.9887256273","-1167858.9887256273","-1167858.9887256273","-1614267.0706956561","-1614267.0706956561","-1614267.0706956561","-589733.3222587043","-589733.3222587043","-589733.3222587043"
"115","-762496.980501161","-762496.980501161","-762496.980501161","-1167011.2868792939","-1167011.2868792939","-1167011.2868792939","-1614066.9289237268","-1614066.9289237268","-1614066.9289237268","-589768.4207668275","-589768.4207668275","-589768.4207668275"
"116","-762335.6258694463","-762335.6258694463","-762335.6258694463","-1165664.3672478746","-1165664.3672478746","-1165664.3672478746","-1613826.7546068477","-1613826.7546068477","-1613826.7546068477","-589244.9175438998","-589244.9175438998","-589244.9175438998"
"117","-762361.2179022173","-762361.2179022173","-762361.2179022173","-1164778.8580014356","-1164778.8580014356","-1164778.8580014356","-1613244.725273544","-1613244.725273544","-1613244.725273544","-589135.7418729616","-589135.7418729616","-589135.7418729616"
"118","-762356.0042818348","-762356.0042818348","-762356.0042818348","-1164063.843783843","-1164063.843783843","-1164063.843783843","-1613164.8792890178","-1613164.8792890178","-1613164.8792890178","-589074.5193252682","-589074.5193252682","-589074.5193252682"
"119","-762219.3621955352","-762219.3621955352","-762219.3621955352","-1163155.8595716425","-1163155.8595716425","-1163155.8595716425","-1613104.5628949662","-1613104.5628949662","-1613104.5628949662","-588541.0285638223","-588541.0285638223","-588541.0285638223"
"120","-762388.4660157852","-762388.4660157852","-762388.4660157852","-1162525.5468290711","-1162525.5468290711","-1162525.5468290711","-1613139.724911531","-1613139.724911531","-1613139.724911531","-588434.3641682307","-588434.3641682307","-588434.3641682307"
"121","-762206.3827551329","-762206.3827551329","-762206.3827551329","-1161464.1151391244","-1161464.1151391244","-1161464.1151391244","-1612599.0921462434","-1612599.0921462434","-1612599.0921462434","-588089.0458373597","-588089.0458373597","-588089.0458373597"
"122","-762160.7220536467","-762160.7220536467","-762160.7220536467","-1160721.3307332024","-1160721.3307332024","-1160721.3307332024","-1612524.903516948","-1612524.903516948","-1612524.903516948","-587974.3353920112","-587974.3353920112","-587974.3353920112"
"123","-761975.425701437","-761975.425701437","-761975.425701437","-1160131.9820446072","-1160131.9820446072","-1160131.9820446072","-1612478.6688062723","-1612478.6688062723","-1612478.6688062723","-587958.2000295416","-587958.2000295416","-587958.2000295416"
"124","-761978.0310678043","-761978.0310678043","-761978.0310678043","-1159330.2865050256","-1159330.2865050256","-1159330.2865050256","-1612641.553708137","-1612641.553708137","-1612641.553708137","-587739.8490924132","-587739.8490924132","-587739.8490924132"
"125","-762018.2712544808","-762018.2712544808","-762018.2712544808","-1158861.7311323967","-1158861.7311323967","-1158861.7311323967","-1611985.2367805997","-1611985.2367805997","-1611985.2367805997","-587828.9043450148","-587828.9043450148","-587828.9043450148"
"126","-762110.7260039444","-762110.7260039444","-762110.7260039444","-1158161.397795542","-1158161.397795542","-1158161.397795542","-1611529.4582078343","-1611529.4582078343","-1611529.4582078343","-587703.605119925","-587703.605119925","-587703.605119925"
"127","-762172.549585799","-762172.549585799","-762172.549585799","-1157262.118878698","-1157262.118878698","-1157262.118878698","-1611433.973679308","-1611433.973679308","-1611433.973679308","-587470.2913641034","-587470.2913641034","-587470.2913641034"
"128","-762212.5436110254","-762212.5436110254","-762212.5436110254","-1156456.3222727925","-1156456.3222727925","-1156456.3222727925","-1611219.0087635694","-1611219.0087635694","-1611219.0087635694","-586989.990309886","-586989.990309886","-586989.990309886"
"129","-762178.9625744147","-762178.9625744147","-762178.9625744147","-1155606.025637555","-1155606.025637555","-1155606.025637555","-1611051.2905556448","-1611051.2905556448","-1611051.2905556448","-586673.2927619879","-586673.2927619879","-586673.2927619879"
"130","-762561.8052831097","-762561.8052831097","-762561.8052831097","-1155000.3395962983","-1155000.3395962983","-1155000.3395962983","-1610770.4394904685","-1610770.4394904685","-1610770.4394904685","-586368.9011293337","-586368.9011293337","-586368.9011293337"
"131","-762888.8066315064","-762888.8066315064","-762888.8066315064","-1154536.7298260909","-1154536.7298260909","-1154536.7298260909","-1610692.5410149242","-1610692.5410149242","-1610692.5410149242","-586296.2940887084","-586296.2940887084","-586296.2940887084"
"132","-762791.2057082674","-762791.2057082674","-762791.2057082674","-1153744.0500257318","-1153744.0500257318","-1153744.0500257318","-1610608.2275499701","-1610608.2275499701","-1610608.2275499701","-586367.1380855262","-586367.1380855262","-586367.1380855262"
"133","-762394.215028581","-762394.215028581","-762394.215028581","-1153201.607456151","-1153201.607456151","-1153201.607456151","-1610527.8412714598","-1610527.8412714598","-1610527.8412714598","-586205.8187961472","-586205.8187961472","-586205.8187961472"
"134","-762307.2152022615","-762307.2152022615","-762307.2152022615","-1152724.0270960203","-1152724.0270960203","-1152724.0270960203","-1610320.6146295841","-1610320.6146295841","-1610320.6146295841","-586319.8238705744","-586319.8238705744","-586319.8238705744"
"135","-762596.5652729437","-762596.5652729437","-762596.5652729437","-1151661.672445356","-1151661.672445356","-1151661.672445356","-1610115.4058242198","-1610115.4058242198","-1610115.4058242198","-586174.6899231027","-586174.6899231027","-586174.6899231027"
"136","-762636.8325429625","-762636.8325429625","-762636.8325429625","-1151176.0634850373","-1151176.0634850373","-1151176.0634850373","-1609888.8087891953","-1609888.8087891953","-1609888.8087891953","-585929.455700001","-585929.455700001","-585929.455700001"
"137","-762459.9661860915","-762459.9661860915","-762459.9661860915","-1150644.4476816845","-1150644.4476816845","-1150644.4476816845","-1609851.5920851734","-1609851.5920851734","-1609851.5920851734","-585767.0598707071","-585767.0598707071","-585767.0598707071"
"138","-762645.7127457533","-762645.7127457533","-762645.7127457533","-1150186.0727793877","-1150186.0727793877","-1150186.0727793877","-1609594.250878687","-1609594.250878687","-1609594.250878687","-585832.6945908263","-585832.6945908263","-585832.6945908263"
"139","-762587.2187775597","-762587.2187775597","-762587.2187775597","-1149450.8965206582","-1149450.8965206582","-1149450.8965206582","-1609473.6468147042","-1609473.6468147042","-1609473.6468147042","-585450.5230257097","-585450.5230257097","-585450.5230257097"
"140","-762570.1120191026","-762570.1120191026","-762570.1120191026","-1148766.724131901","-1148766.724131901","-1148766.724131901","-1609790.0353407434","-1609790.0353407434","-1609790.0353407434","-585301.639126298","-585301.639126298","-585301.639126298"
"141","-762385.5997545581","-762385.5997545581","-762385.5997545581","-1147994.671390254","-1147994.671390254","-1147994.671390254","-1609445.9328071564","-1609445.9328071564","-1609445.9328071564","-585383.2387574904","-585383.2387574904","-585383.2387574904"
"142","-762499.5095757543","-762499.5095757543","-762499.5095757543","-1147471.663048433","-1147471.663048433","-1147471.663048433","-1609308.813792714","-1609308.813792714","-1609308.813792714","-585246.8525221156","-585246.8525221156","-585246.8525221156"
"143","-762405.9819633723","-762405.9819633723","-762405.9819633723","-1146486.746055591","-1146486.746055591","-1146486.746055591","-1608679.572460634","-1608679.572460634","-1608679.572460634","-585007.4697316554","-585007.4697316554","-585007.4697316554"
"144","-762575.8207243686","-762575.8207243686","-762575.8207243686","-1145655.5024248345","-1145655.5024248345","-1145655.5024248345","-1608353.123752941","-1608353.123752941","-1608353.123752941","-585124.8104349561","-585124.8104349561","-585124.8104349561"
"145","-762786.535232474","-762786.535232474","-762786.535232474","-1145556.1068332864","-1145556.1068332864","-1145556.1068332864","-1608322.0104418537","-1608322.0104418537","-1608322.0104418537","-585053.0304431646","-585053.0304431646","-585053.0304431646"
"146","-762874.1574851072","-762874.1574851072","-762874.1574851072","-1145094.0243745535","-1145094.0243745535","-1145094.0243745535","-1608325.1110841655","-1608325.1110841655","-1608325.1110841655","-584894.9233672548","-584894.9233672548","-584894.9233672548"
"147","-763154.2146452826","-763154.2146452826","-763154.2146452826","-1144275.10819039","-1144275.10819039","-1144275.10819039","-1607977.8239314505","-1607977.8239314505","-1607977.8239314505","-584570.7173529293","-584570.7173529293","-584570.7173529293"
"148","-763124.6221972076","-763124.6221972076","-763124.6221972076","-1143643.074849239","-1143643.074849239","-1143643.074849239","-1607779.8116958316","-1607779.8116958316","-1607779.8116958316","-584306.0173309211","-584306.0173309211","-584306.0173309211"
"149","-762992.592437989","-762992.592437989","-762992.592437989","-1143459.2472812238","-1143459.2472812238","-1143459.2472812238","-1607506.8214189673","-1607506.8214189673","-1607506.8214189673","-584453.419163686","-584453.419163686","-584453.419163686"
"150","-763194.5313662987","-763194.5313662987","-763194.5313662987","-1142945.2986665755","-1142945.2986665755","-1142945.2986665755","-1607036.3083144948","-1607036.3083144948","-1607036.3083144948","-584430.6132215048","-584430.6132215048","-584430.6132215048"
"151","-762961.6972234948","-762961.6972234948","-762961.6972234948","-1142549.1143459138","-1142549.1143459138","-1142549.1143459138","-1607112.2243405478","-1607112.2243405478","-1607112.2243405478","-584036.2210520329","-584036.2210520329","-584036.2210520329"
"152","-762875.2309626468","-762875.2309626468","-762875.2309626468","-1141817.1361508851","-1141817.1361508851","-1141817.1361508851","-1606770.0549984856","-1606770.0549984856","-1606770.0549984856","-584056.3822331289","-584056.3822331289","-584056.3822331289"
"153","-762951.6495969027","-762951.6495969027","-762951.6495969027","-1141178.3277788463","-1141178.3277788463","-1141178.3277788463","-1606540.149748637","-1606540.149748637","-1606540.149748637","-583923.557712987","-583923.557712987","-583923.557712987"
"154","-762958.4301512133","-762958.4301512133","-762958.4301512133","-1140857.9804702594","-1140857.9804702594","-1140857.9804702594","-1606534.2629513538","-1606534.2629513538","-1606534.2629513538","-584249.1110448889","-584249.1110448889","-584249.1110448889"
"155","-762819.9818603613","-762819.9818603613","-762819.9818603613","-1140429.9818241436","-1140429.9818241436","-1140429.9818241436","-1606310.5659886773","-1606310.5659886773","-1606310.5659886773","-584196.3950481906","-584196.3950481906","-584196.3950481906"
"156","-762579.7958144234","-762579.7958144234","-762579.7958144234","-1140315.808459839","-1140315.808459839","-1140315.808459839","-1606437.5292856665","-1606437.5292856665","-1606437.5292856665","-584192.505322692","-584192.505322692","-584192.505322692"
"157","-762675.9628875793","-762675.9628875793","-762675.9628875793","-1139650.9037607235","-1139650.9037607235","-1139650.9037607235","-1606243.678558803","-1606243.678558803","-1606243.678558803","-584141.4961299547","-584141.4961299547","-584141.4961299547"
"158","-762513.3132022358","-762513.3132022358","-762513.3132022358","-1139091.0318383018","-1139091.0318383018","-1139091.0318383018","-1606143.9689810576","-1606143.9689810576","-1606143.9689810576","-583663.2646679874","-583663.2646679874","-583663.2646679874"
"159","-762915.6044132652","-762915.6044132652","-762915.6044132652","-1138445.713969005","-1138445.713969005","-1138445.713969005","-1606030.9657030313","-1606030.9657030313","-1606030.9657030313","-583543.8973551334","-583543.8973551334","-583543.8973551334"
"160","-762716.0274790456","-762716.0274790456","-762716.0274790456","-1138029.1101216883","-1138029.1101216883","-1138029.1101216883","-1606039.4280411433","-1606039.4280411433","-1606039.4280411433","-583356.9690035672","-583356.9690035672","-583356.9690035672"
"161","-762695.4085796282","-762695.4085796282","-762695.4085796282","-1137898.1630282763","-1137898.1630282763","-1137898.1630282763","-1605905.9076383743","-1605905.9076383743","-1605905.9076383743","-583395.8070756487","-583395.8070756487","-583395.8070756487"
"162","-762776.3755599429","-762776.3755599429","-762776.3755599429","-1137485.0143529188","-1137485.0143529188","-1137485.0143529188","-1605806.4990695273","-1605806.4990695273","-1605806.4990695273","-583027.5535454801","-583027.5535454801","-583027.5535454801"
"163","-762554.3397951431","-762554.3397951431","-762554.3397951431","-1137093.1426417322","-1137093.1426417322","-1137093.1426417322","-1605724.6596688528","-1605724.6596688528","-1605724.6596688528","-582551.1412490857","-582551.1412490857","-582551.1412490857"
"164","-762243.7497996092","-762243.7497996092","-762243.7497996092","-1136680.0667895495","-1136680.0667895495","-1136680.0667895495","-1605716.5214992808","-1605716.5214992808","-1605716.5214992808","-582403.8705164044","-582403.8705164044","-582403.8705164044"
"165","-762449.6878046164","-762449.6878046164","-762449.6878046164","-1136282.1343624238","-1136282.1343624238","-1136282.1343624238","-1605604.9401651896","-1605604.9401651896","-1605604.9401651896","-582043.0919898273","-582043.0919898273","-582043.0919898273"
"166","-762282.8506880458","-762282.8506880458","-762282.8506880458","-1135777.4381293277","-1135777.4381293277","-1135777.4381293277","-1605426.0902421377","-1605426.0902421377","-1605426.0902421377","-581957.3490944122","-581957.3490944122","-581957.3490944122"
"167","-762364.8858207689","-762364.8858207689","-762364.8858207689","-1135232.2273544106","-1135232.2273544106","-1135232.2273544106","-1605272.4837795123","-1605272.4837795123","-1605272.4837795123","-581821.332588827","-581821.332588827","-581821.332588827"
"168","-762306.2798818179","-762306.2798818179","-762306.2798818179","-1134637.6333185306","-1134637.6333185306","-1134637.6333185306","-1604884.8727242118","-1604884.8727242118","-1604884.8727242118","-581660.3731450238","-581660.3731450238","-581660.3731450238"
"169","-762374.118736094","-762374.118736094","-762374.118736094","-1134365.0960884157","-1134365.0960884157","-1134365.0960884157","-1604882.3451289085","-1604882.3451289085","-1604882.3451289085","-581307.0433150948","-581307.0433150948","-581307.0433150948"
"170","-762263.269202217","-762263.269202217","-762263.269202217","-1133667.0646161442","-1133667.0646161442","-1133667.0646161442","-1604630.1880367973","-1604630.1880367973","-1604630.1880367973","-581258.3257547949","-581258.3257547949","-581258.3257547949"
"171","-762210.8093858919","-762210.8093858919","-762210.8093858919","-1133361.658486777","-1133361.658486777","-1133361.658486777","-1604495.9157659404","-1604495.9157659404","-1604495.9157659404","-581349.125642075","-581349.125642075","-581349.125642075"
"172","-761840.4643390363","-761840.4643390363","-761840.4643390363","-1132970.9388571172","-1132970.9388571172","-1132970.9388571172","-1604352.6110418807","-1604352.6110418807","-1604352.6110418807","-581046.7348766044","-581046.7348766044","-581046.7348766044"
"173","-761575.9481977514","-761575.9481977514","-761575.9481977514","-1132516.9850834315","-1132516.9850834315","-1132516.9850834315","-1604208.1393091877","-1604208.1393091877","-1604208.1393091877","-580845.948773885","-580845.948773885","-580845.948773885"
"174","-761526.1418785109","-761526.1418785109","-761526.1418785109","-1131993.585808888","-1131993.585808888","-1131993.585808888","-1604222.5781157655","-1604222.5781157655","-1604222.5781157655","-580495.8224388055","-580495.8224388055","-580495.8224388055"
"175","-761349.9629263594","-761349.9629263594","-761349.9629263594","-1131557.359571685","-1131557.359571685","-1131557.359571685","-1604148.3768148965","-1604148.3768148965","-1604148.3768148965","-580602.369696777","-580602.369696777","-580602.369696777"
"176","-761389.756681666","-761389.756681666","-761389.756681666","-1131300.3073622407","-1131300.3073622407","-1131300.3073622407","-1604122.282737812","-1604122.282737812","-1604122.282737812","-580683.0705345661","-580683.0705345661","-580683.0705345661"
"177","-761620.5570193683","-761620.5570193683","-761620.5570193683","-1130880.9955528714","-1130880.9955528714","-1130880.9955528714","-1604210.99818382","-1604210.99818382","-1604210.99818382","-580627.3767892534","-580627.3767892534","-580627.3767892534"
"178","-761420.8561779408","-761420.8561779408","-761420.8561779408","-1130402.2089501068","-1130402.2089501068","-1130402.2089501068","-1604015.6872865532","-1604015.6872865532","-1604015.6872865532","-580505.3370306361","-580505.3370306361","-580505.3370306361"
"179","-761266.0009343419","-761266.0009343419","-761266.0009343419","-1130191.600426442","-1130191.600426442","-1130191.600426442","-1604043.0559329067","-1604043.0559329067","-1604043.0559329067","-580451.3867499154","-580451.3867499154","-580451.3867499154"
"180","-761610.2812156058","-761610.2812156058","-761610.2812156058","-1129787.561796591","-1129787.561796591","-1129787.561796591","-1604008.7335727161","-1604008.7335727161","-1604008.7335727161","-580508.5303236683","-580508.5303236683","-580508.5303236683"
"181","-761667.63533749","-761667.63533749","-761667.63533749","-1129048.424912136","-1129048.424912136","-1129048.424912136","-1603684.5565357879","-1603684.5565357879","-1603684.5565357879","-580471.2323393237","-580471.2323393237","-580471.2323393237"
"182","-761695.2857496726","-761695.2857496726","-761695.2857496726","-1128575.3299889397","-1128575.3299889397","-1128575.3299889397","-1603384.0945270737","-1603384.0945270737","-1603384.0945270737","-580509.7528204247","-580509.7528204247","-580509.7528204247"
"183","-761713.8341351955","-761713.8341351955","-761713.8341351955","-1128022.5849047794","-1128022.5849047794","-1128022.5849047794","-1603250.3350912707","-1603250.3350912707","-1603250.3350912707","-580453.3296219481","-580453.3296219481","-580453.3296219481"
"184","-761817.0225279597","-761817.0225279597","-761817.0225279597","-1127489.8639712632","-1127489.8639712632","-1127489.8639712632","-1602972.2923025093","-1602972.2923025093","-1602972.2923025093","-580407.1092629931","-580407.1092629931","-580407.1092629931"
"185","-761675.5591228404","-761675.5591228404","-761675.5591228404","-1127222.7557594287","-1127222.7557594287","-1127222.7557594287","-1602929.8325565457","-1602929.8325565457","-1602929.8325565457","-580274.3092821952","-580274.3092821952","-580274.3092821952"
"186","-761489.1639990112","-761489.1639990112","-761489.1639990112","-1127112.473110803","-1127112.473110803","-1127112.473110803","-1602832.1081929184","-1602832.1081929184","-1602832.1081929184","-580350.8651527178","-580350.8651527178","-580350.8651527178"
"187","-761463.3329699946","-761463.3329699946","-761463.3329699946","-1126880.669719532","-1126880.669719532","-1126880.669719532","-1602605.9068241096","-1602605.9068241096","-1602605.9068241096","-580095.2396277541","-580095.2396277541","-580095.2396277541"
"188","-761313.557104077","-761313.557104077","-761313.557104077","-1126598.2955564482","-1126598.2955564482","-1126598.2955564482","-1602525.3233855483","-1602525.3233855483","-1602525.3233855483","-579951.6187939823","-579951.6187939823","-579951.6187939823"
"189","-761393.7994787589","-761393.7994787589","-761393.7994787589","-1125992.2850676377","-1125992.2850676377","-1125992.2850676377","-1602276.3633790277","-1602276.3633790277","-1602276.3633790277","","",""
"190","-761186.9241596874","-761186.9241596874","-761186.9241596874","-1125735.9299191674","-1125735.9299191674","-1125735.9299191674","-1602155.985513644","-1602155.985513644","-1602155.985513644","","",""
"191","-761244.5465092884","-761244.5465092884","-761244.5465092884","-1125461.0590194918","-1125461.0590194918","-1125461.0590194918","","","","","",""
"192","-761213.8223079976","-761213.8223079976","-761213.8223079976","-1125218.327279723","-1125218.327279723","-1125218.327279723","","","","","",""
"193","","","","-1124726.5587736168","-1124726.5587736168","-1124726.5587736168","","","","","",""
